# NOAA_NBS_RKC_2021,,,,,,,,,,,,
#  All RKC crab captured in NBS ,,,,,,,,,,,,
#,,,,,,,,,,,,
#,,,,,,,,,,,,
#,,,,,,,,,,,,
#,,,,,,,,,,,,
Year,Vessel,Haul,NMFS_Station,Sex,Size_mm,Shell,Egg color,Egg condition,Clutch,Weight,Chela,Sampling Factor
2021,94,32,ZZ-02,1,105.6,2,,,,786,,1
2021,94,35,CC-04,2,87.8,2,0,0,0,,,1
2021,94,35,CC-04,1,101.1,2,,,,,,1
2021,94,35,CC-04,1,99.6,3,,,,,,1
2021,94,35,CC-04,1,84.3,2,,,,,,1
2021,94,35,CC-04,1,101,2,,,,,,1
2021,94,35,CC-04,1,77.6,2,,,,,,1
2021,94,35,CC-04,1,99.6,2,,,,,,1
2021,94,35,CC-04,1,84.7,2,,,,,,1
2021,94,35,CC-04,1,81.2,2,,,,,,1
2021,94,35,CC-04,1,104.8,2,,,,,,1
2021,94,35,CC-04,1,75.9,2,,,,,,1
2021,94,35,CC-04,1,80.2,2,,,,,,1
2021,94,35,CC-04,1,74,2,,,,,,1
2021,94,35,CC-04,1,107,2,,,,,,1
2021,94,35,CC-04,1,86.2,2,,,,,,1
2021,94,35,CC-04,1,71.1,2,,,,,,1
2021,94,35,CC-04,1,87,2,,,,,,1
2021,94,35,CC-04,1,100.8,2,,,,,,1
2021,94,35,CC-04,1,95.2,2,,,,,,1
2021,94,35,CC-04,1,81.3,2,,,,,,1
2021,94,35,CC-04,1,89.1,2,,,,,,1
2021,94,35,CC-04,1,89.1,2,,,,,,1
2021,94,35,CC-04,1,110.2,2,,,,,,1
2021,94,35,CC-04,1,95.2,2,,,,,,1
2021,94,35,CC-04,1,120.9,2,,,,,,1
2021,94,35,CC-04,1,81.5,2,,,,,,1
2021,94,35,CC-04,1,76.9,2,,,,284,,1
2021,94,35,CC-04,1,78.1,2,,,,350,,1
2021,94,35,CC-04,1,96.6,2,,,,620,,1
2021,94,35,CC-04,1,76.7,2,,,,320,,1
2021,94,35,CC-04,1,95.7,2,,,,606,,1
2021,94,35,CC-04,2,89.9,2,2,1,5,,,1
2021,94,35,CC-04,2,72.5,2,0,0,0,,,1
2021,94,35,CC-04,2,82.4,2,0,0,0,,,1
2021,94,35,CC-04,2,72.9,2,0,0,0,,,1
2021,94,35,CC-04,2,78.1,2,0,0,0,,,1
2021,94,35,CC-04,2,66.1,2,0,0,0,,,1
2021,94,35,CC-04,2,55.4,2,0,0,0,,,1
2021,94,35,CC-04,2,73.9,2,0,0,0,,,1
2021,94,35,CC-04,2,76.4,2,0,0,0,,,1
2021,94,35,CC-04,2,87.3,2,0,0,0,,,1
2021,94,35,CC-04,2,75.4,2,0,0,0,,,1
2021,94,35,CC-04,2,81.9,2,0,0,0,,,1
2021,94,35,CC-04,2,74.2,2,0,0,0,,,1
2021,94,35,CC-04,2,75.4,2,0,0,0,234,,1
2021,94,35,CC-04,2,67.7,2,0,0,0,198,,1
2021,94,35,CC-04,2,75.8,2,0,0,0,272,,1
2021,94,35,CC-04,2,77.8,2,0,0,0,248,,1
2021,94,35,CC-04,2,64.9,2,0,0,0,162,,1
2021,94,35,CC-04,2,69.6,2,0,0,0,216,,1
2021,94,35,CC-04,2,74.6,2,0,0,0,248,,1
2021,94,35,CC-04,2,79.2,2,0,0,0,272,,1
2021,94,35,CC-04,2,92.9,2,0,0,1,,,1
2021,94,35,CC-04,2,96.1,2,2,1,5,466,,1
2021,94,35,CC-04,2,96.4,2,2,1,5,492,,1
2021,94,35,CC-04,2,85,2,2,1,5,498,,1
2021,94,35,CC-04,2,81.4,2,2,1,5,330,,1
2021,94,35,CC-04,2,83.6,2,2,1,5,336,,1
2021,94,35,CC-04,2,94.9,2,2,1,5,424,,1
2021,94,35,CC-04,2,86.5,2,2,1,5,342,,1
2021,94,35,CC-04,2,90.6,2,2,1,5,386,,1
2021,94,35,CC-04,2,101,2,2,1,5,578,,1
2021,94,36,BB-04,1,101.2,3,,,,720,,1
2021,94,36,BB-04,1,107.4,2,,,,876,,1
2021,94,36,BB-04,1,118.2,2,,,,1084,,1
2021,94,36,BB-04,1,103.9,2,,,,780,,1
2021,94,36,BB-04,1,105.9,2,,,,780,,1
2021,94,36,BB-04,1,105.3,3,,,,,,1
2021,94,36,BB-04,1,106.7,2,,,,,,1
2021,94,36,BB-04,1,101.7,2,,,,692,,1
2021,94,36,BB-04,1,84.8,2,,,,396,,1
2021,162,43,EE-02,2,68.8,2,0,0,0,230,,1
2021,162,43,EE-02,2,83.9,2,2,1,5,414,,1
2021,162,46,CC-03,1,89.7,2,,,,,18.4,1
2021,162,46,CC-03,1,52.3,2,,,,103,14.6,1
2021,162,46,CC-03,1,106.4,2,,,,882,35.7,1
2021,162,46,CC-03,2,48.3,2,0,0,0,,,1
2021,162,47,BB-03,1,93.3,3,,,,,28.3,1
2021,162,48,AA-03,1,96.1,3,,,,,,1
2021,162,48,AA-03,1,92.4,2,,,,,29.1,1
2021,162,49,AA-04,1,91.9,3,,,,,,1
2021,162,49,AA-04,1,89.3,3,,,,,24.8,1
2021,162,49,AA-04,1,95,3,,,,715,30.3,1
2021,162,50,AA-05,2,82.2,2,2,1,5,,,1
2021,162,50,AA-05,2,83.2,2,2,1,5,,,1
2021,162,50,AA-05,2,78.4,2,2,1,5,,,1
2021,162,50,AA-05,2,84.9,2,2,1,5,,,1
2021,162,50,AA-05,2,78.4,2,2,1,5,,,1
2021,162,50,AA-05,2,87.1,2,2,1,5,483,,1
2021,162,50,AA-05,2,89.1,2,2,1,5,547,,1
2021,162,50,AA-05,2,94.6,2,2,1,5,606,,1
2021,162,50,AA-05,2,88.3,2,2,1,5,515,,1
2021,162,50,AA-05,2,84.6,2,2,1,5,411,,1
2021,162,50,AA-05,2,87.3,2,2,1,5,536,,1
2021,162,50,AA-05,2,81,2,2,1,5,,,1
2021,162,51,BB-05,2,92.4,1,2,1,5,,,1
2021,162,51,BB-05,2,86.4,1,2,1,5,,,1
2021,162,52,CC-05,2,94.8,2,2,1,5,,,1
2021,162,52,CC-05,2,84.1,2,2,1,5,440,,1
2021,162,52,CC-05,2,86.9,2,2,1,5,486,,1
2021,162,52,CC-05,2,80.1,2,2,1,5,397,,1
2021,162,52,CC-05,2,81.8,2,2,1,5,416,,1
2021,162,52,CC-05,2,95.8,2,2,1,5,651,,1
2021,162,52,CC-05,2,88.1,2,2,1,5,482,,1
2021,162,52,CC-05,2,90,2,2,1,5,,,1
2021,162,53,CC-06,2,90.9,2,2,1,5,,,1
2021,162,53,CC-06,2,85.1,2,2,1,5,,,1
2021,162,54,BB-06,2,88.8,2,2,1,5,,,1
2021,162,54,BB-06,2,82.2,2,2,1,5,,,1
2021,162,54,BB-06,2,90.7,2,2,1,5,,,1
2021,162,54,BB-06,2,84.7,2,2,1,5,,,1
2021,162,54,BB-06,2,73.6,2,2,1,5,,,1
2021,162,54,BB-06,2,81.1,2,2,1,5,422,,1
2021,162,54,BB-06,2,92.7,2,2,1,5,615,,1
2021,162,54,BB-06,2,79.2,2,2,1,5,357,,1
2021,162,54,BB-06,2,83.4,2,2,1,5,461,,1
2021,162,54,BB-06,2,88.4,2,2,1,5,461,,1
2021,162,54,BB-06,2,83,2,2,1,5,421,,1
2021,162,54,BB-06,2,77.2,2,2,1,5,354,,1
2021,162,54,BB-06,2,74.3,2,2,1,5,301,,1
2021,162,54,BB-06,2,89.4,2,2,1,5,548,,1
2021,162,54,BB-06,2,83.3,2,2,1,5,398,,1
2021,162,55,BB-07,1,85,3,,,,525,27.2,1
2021,162,55,BB-07,1,90.1,3,,,,573,28.3,1
2021,162,55,BB-07,1,33.4,2,,,,29,10,1
2021,162,55,BB-07,1,105.1,3,,,,903,33.6,1
2021,162,55,BB-07,1,89.4,3,,,,512,26.5,1
2021,162,55,BB-07,1,78.1,3,,,,390,23.1,1
2021,162,55,BB-07,1,74.8,3,,,,349,21.6,1
2021,162,55,BB-07,1,89.8,2,,,,555,26.8,1
2021,162,55,BB-07,2,39.1,2,0,0,0,,,1
2021,162,55,BB-07,2,82.7,2,2,1,3,,,1
2021,162,55,BB-07,2,73,2,2,1,2,271,,1
2021,162,55,BB-07,2,78.1,2,2,1,5,326,,1
2021,162,55,BB-07,2,82.8,2,2,1,6,416,,1
2021,162,55,BB-07,2,99.5,2,2,1,5,620,,1
2021,162,55,BB-07,2,90.5,2,2,1,5,564,,1
2021,162,55,BB-07,2,75.7,2,2,1,6,304,,1
2021,162,55,BB-07,1,71.4,1,,,,,19.6,1
2021,162,55,BB-07,1,85.5,3,,,,,26.5,1
2021,162,55,BB-07,1,92.3,3,,,,,,1
2021,162,55,BB-07,1,69.9,3,,,,295,16.2,1
2021,162,55,BB-07,1,79,3,,,,,23.7,1
2021,162,55,BB-07,1,82.8,3,,,,,25.1,1
2021,162,55,BB-07,1,113.3,3,,,,,36.3,1
2021,162,55,BB-07,1,71,2,,,,,21.1,1
2021,162,55,BB-07,1,100.5,3,,,,,31.5,1
2021,162,55,BB-07,1,55.7,2,,,,123,15,1
2021,162,55,BB-07,2,92.8,2,2,1,5,592,,1
2021,162,55,BB-07,2,83.8,2,2,1,5,422,,1
2021,162,55,BB-07,2,86.9,2,2,1,5,486,,1
2021,162,55,BB-07,2,84.6,2,2,1,5,463,,1
2021,162,55,BB-07,2,88.7,2,2,1,5,457,,1
2021,162,55,BB-07,2,82.8,2,2,1,5,425,,1
2021,162,55,BB-07,2,92.4,2,2,1,5,555,,1
2021,162,55,BB-07,2,89.2,2,2,1,5,527,,1
2021,162,55,BB-07,2,83,2,2,1,5,460,,1
2021,162,55,BB-07,2,79.8,2,2,1,5,369,,1
2021,162,55,BB-07,2,79.2,2,2,1,5,345,,1
2021,162,55,BB-07,2,86.5,2,2,1,5,435,,1
2021,162,56,CC-07,2,81.8,2,2,1,5,390,,1
2021,162,56,CC-07,2,92.8,2,2,1,5,580,,1
2021,162,56,CC-07,2,74.2,2,2,1,5,285,,1
2021,162,56,CC-07,2,76.4,2,2,1,5,362,,1
2021,162,57,CC-08,2,90.5,2,2,1,6,,,1
2021,162,58,BB-08,1,92,1,,,,,,1
2021,162,58,BB-08,1,77.8,1,,,,,,1
2021,162,58,BB-08,1,96.6,1,,,,,22.2,1
2021,162,58,BB-08,1,91.6,1,,,,,26,1
2021,162,58,BB-08,1,103,1,,,,,26.9,1
2021,162,58,BB-08,1,88.3,1,,,,,25.5,1
2021,162,58,BB-08,1,74.6,2,,,,,20.9,1
2021,162,58,BB-08,1,68,1,,,,199,20,1
2021,162,58,BB-08,1,91.7,1,,,,460,27.8,1
2021,162,58,BB-08,1,93,1,,,,522,29.2,1
2021,162,58,BB-08,1,90.6,1,,,,514,26,1
2021,162,58,BB-08,1,90.9,1,,,,485,27.8,1
2021,162,58,BB-08,1,100.8,1,,,,709,17.4,1
2021,162,58,BB-08,1,91.7,3,,,,578,27.9,1
2021,162,58,BB-08,1,81.6,2,,,,349,26.1,1
2021,162,58,BB-08,2,68.6,2,0,0,1,,,1
2021,162,58,BB-08,2,75.8,2,0,0,1,,,1
2021,162,58,BB-08,2,77.1,2,2,1,4,,,1
2021,162,58,BB-08,2,84.8,2,2,1,4,,,1
2021,162,58,BB-08,2,98.5,2,2,1,5,,,1
2021,162,58,BB-08,2,89.3,2,2,1,5,,,1
2021,162,58,BB-08,2,74.9,2,2,1,5,,,1
2021,162,58,BB-08,2,80.2,2,2,1,5,,,1
2021,162,58,BB-08,2,82,2,2,1,5,,,1
2021,162,58,BB-08,2,81,2,2,1,5,,,1
2021,162,58,BB-08,2,101.9,2,2,1,5,,,1
2021,162,58,BB-08,2,83.7,2,2,1,5,411,,1
2021,162,58,BB-08,2,77.5,2,2,1,5,342,,1
2021,162,58,BB-08,2,69.6,2,2,1,5,229,,1
2021,162,58,BB-08,2,77.2,2,2,1,5,315,,1
2021,162,58,BB-08,2,72.2,2,2,1,5,261,,1
2021,162,58,BB-08,2,77.4,2,2,1,5,334,,1
2021,162,58,BB-08,2,74.5,2,2,1,2,274,,1
2021,162,58,BB-08,2,70.4,2,2,1,5,274,,1
2021,162,59,CC-09,2,86,2,2,1,5,451,,1
2021,162,59,CC-09,2,87.2,2,2,1,6,467,,1
2021,162,59,CC-09,2,86.1,2,2,1,2,409,,1
2021,162,59,CC-09,2,81,2,2,1,5,376,,1
2021,162,59,CC-09,2,85.5,2,2,1,5,410,,1
2021,162,59,CC-09,2,83,2,2,1,5,402,,1
2021,162,59,CC-09,1,110.5,3,,,,,36.2,1
2021,162,59,CC-09,2,104.1,2,2,1,5,,,1
2021,162,59,CC-09,2,87.2,2,2,1,5,404,,1
2021,162,59,CC-09,2,79.8,2,2,1,5,355,,1
2021,162,59,CC-09,2,92.5,2,2,1,6,609,,1
2021,162,61,BB-10,1,104.7,3,,,,,33.7,1
2021,162,62,BB-09,2,94.8,2,2,1,5,,,1
2021,162,63,AA-08,2,88.6,2,2,1,5,,,1
2021,162,63,AA-08,2,86.5,2,2,1,5,,,1
2021,162,68,ZZ-04,2,86.9,2,2,1,5,,,1
2021,162,68,ZZ-04,2,87.2,2,2,1,5,461,,1
2021,162,68,ZZ-04,2,89.6,2,2,1,5,557,,1
2021,162,68,ZZ-04,1,122.9,5,,,,,,1
2021,162,68,ZZ-04,2,88.6,2,2,1,5,,,1
2021,162,70,Y-03,2,88.9,2,2,1,5,,,1
2021,162,70,Y-03,2,82.3,2,2,1,5,,,1
2021,162,73,X-02,2,95.8,2,2,1,5,,,1
2021,162,95,R-19,2,119.7,2,2,1,5,,,1
