# NOAA_NBS_RKC_2019,,,,,,,,,,,,
#  All RKC crab captured in NBS ,,,,,,,,,,,,
#,,,,,,,,,,,,
#,,,,,,,,,,,,
#,,,,,,,,,,,,
#,,,,,,,,,,,,
Year,Vessel,Haul,NMFS_Station,Sex,Size_mm,Shell,Egg color,Egg condition,Clutch,Weight,Chela,Sampling Factor
2019,94,10,CC-05,1,131.6,4,,,,,,1
2019,94,10,CC-05,1,130.4,4,,,,,,1
2019,94,10,CC-05,1,111,3,,,,,,1
2019,94,10,CC-05,1,83.5,2,,,,,,1
2019,94,10,CC-05,1,73.8,2,,,,,,1
2019,94,10,CC-05,1,71.8,2,,,,256,20.4,1
2019,94,10,CC-05,1,100.3,2,,,,676,31.2,1
2019,94,10,CC-05,2,61.8,2,0,0,0,,,1
2019,94,10,CC-05,2,46.2,2,0,0,0,64,,1
2019,94,10,CC-05,2,69.4,2,0,0,1,242,,1
2019,94,11,BB-05,1,79.7,2,,,,,,1
2019,94,11,BB-05,1,66.2,2,,,,,,1
2019,94,11,BB-05,1,75.9,2,,,,,,1
2019,94,11,BB-05,1,81.1,2,,,,,,1
2019,94,11,BB-05,1,70.1,2,,,,,,1
2019,94,11,BB-05,1,78.8,2,,,,,,1
2019,94,11,BB-05,1,72.2,2,,,,,,1
2019,94,11,BB-05,1,69.9,2,,,,,,1
2019,94,11,BB-05,1,78.4,2,,,,,,1
2019,94,11,BB-05,1,71.9,2,,,,,,1
2019,94,11,BB-05,1,78.2,2,,,,,,1
2019,94,11,BB-05,1,63.7,2,,,,,,1
2019,94,11,BB-05,1,73.6,2,,,,,,1
2019,94,11,BB-05,1,74.2,2,,,,,,1
2019,94,11,BB-05,1,72.8,2,,,,,,1
2019,94,11,BB-05,1,72.8,2,,,,,,1
2019,94,11,BB-05,1,103.7,2,,,,730,25.9,1
2019,94,11,BB-05,1,85.1,2,,,,506,26.2,1
2019,94,11,BB-05,1,83.5,2,,,,370,24.1,1
2019,94,11,BB-05,1,80.2,2,,,,336,20.6,1
2019,94,11,BB-05,1,76.4,2,,,,308,22.6,1
2019,94,11,BB-05,2,65.9,2,0,0,0,,,1
2019,94,11,BB-05,2,65.8,2,0,0,0,,,1
2019,94,11,BB-05,2,59.7,2,0,0,0,,,1
2019,94,11,BB-05,2,64.4,2,0,0,0,,,1
2019,94,11,BB-05,2,60.8,2,0,0,0,,,1
2019,94,11,BB-05,2,64.9,2,0,0,0,,,1
2019,94,11,BB-05,2,65.8,2,0,0,0,,,1
2019,94,11,BB-05,2,63.1,2,0,0,0,,,1
2019,94,11,BB-05,2,68.8,2,0,0,0,226,,1
2019,94,11,BB-05,2,70.4,2,0,0,0,260,,1
2019,94,11,BB-05,2,68.4,2,0,0,0,222,,1
2019,94,11,BB-05,2,76.7,2,0,0,1,264,,1
2019,94,11,BB-05,2,68,2,0,0,0,214,,1
2019,94,12,BB-06,1,57.7,2,,,,,,1
2019,94,12,BB-06,1,71.5,2,,,,,,1
2019,94,12,BB-06,1,68.2,2,,,,,,1
2019,94,12,BB-06,1,55.3,2,,,,,,1
2019,94,12,BB-06,1,69.7,2,,,,,,1
2019,94,12,BB-06,1,69,2,,,,,,1
2019,94,12,BB-06,1,57,2,,,,,,1
2019,94,12,BB-06,1,85.7,2,,,,,,1
2019,94,12,BB-06,1,64.7,2,,,,,,1
2019,94,12,BB-06,1,86.8,2,,,,482,,1
2019,94,12,BB-06,1,70.7,2,,,,256,,1
2019,94,12,BB-06,1,69,2,,,,248,,1
2019,94,12,BB-06,1,68.3,2,,,,228,,1
2019,94,12,BB-06,1,76.4,2,,,,322,,1
2019,94,12,BB-06,1,75.7,2,,,,320,,1
2019,94,12,BB-06,2,93.9,2,2,1,2,,,1
