# 2002 Trawl Survey Subsampe data ,,,,,,,,,
"# 3 subsamples were takein at each tow, but only total subusample data were avaiable",,,,,,,,,
#,,,,,,,,,
#,,,,,,,,,
#,,,,,,,,,
#,,,,,,,,,
Year,Haul,ADFG_Station,Date,Gross_Catch_Weight_kg,Tare_kg,Large_fish_Debris_kg,RKC_kg,SubSample_Weight_kg,Remarks
2002,1,184,7/27/2002,432,129,7.16,10.5,64.11,
2002,2,184,7/27/2002,523,140,3.78,5.83,45.68,retow due to high legal crab catch 
2002,3,183,7/27/2002,1393,145,524.0016,40.22,52.02,several rocks
2002,4,183,7/27/2002,460,147,25.5,41.17,49.35,retow due to high legal crab catch 
2002,5,182,7/27/2002,340,138,1.38,2.44,46.84,
2002,6,181,7/27/2002,313,122,2.58,0,40.18,
2002,7,203,7/27/2002,458,158,1.7,0,41.78,
2002,8,202,7/28/2002,395,135,2.22,0,35.16,
2002,9,180,7/28/2002,730,136,2.41,0.1,51.34,
2002,10,179,7/28/2002,321,137,0,0.02,40.58,
2002,11,201,7/28/2002,,,,,,"net damaged, no sample taken"
2002,12,201,7/28/2002,175,100,0.92,0,54.2,put on net #2
2002,13,176,7/28/2002,382,106,1.3,0,46.42,
2002,14,150,7/28/2002,254,107,0,0,48.4,
2002,15,123,7/29/2002,179,115,0,3.04,38.9,
2002,16,124,7/29/2002,261,122,2.9,1.01,47.65,
2002,17,151,7/29/2002,256,108,0,0.98,50,
2002,18,152,7/29/2002,202,110,0,0,42.9,
2002,19,125,7/29/2002,168,110,0,1.45,41,
2002,20,126,7/29/2002,197,103,0,3.12,42.09,
2002,21,153,7/29/2002,150,107,0,3.2,47.7,
2002,22,154,7/29/2002,261,107,0,0.36,52.34,
2002,23,127,7/30/2002,229,107,0,2.15,48.3,
2002,24,128,7/30/2002,244,109,0,0,42.62,
2002,25,155,7/30/2002,293,111,0,0.21,46.3,
2002,26,156,7/30/2002,168,104,0,0.38,47,
