HAULJOIN,VESSEL,CRUISE,HAUL,HAUL_TYPE,PERFORMANCE,START_DATE,START_HOUR,DURATION,DISTANCE_FISHED,NET_WIDTH,NET_MEASURED,NET_HEIGHT,MID_LATITUDE,MID_LONGITUDE,GIS_STATION,GEAR_DEPTH,BOTTOM_DEPTH,SURFACE_TEMPERATURE,GEAR_TEMPERATURE,WIRE_LENGTH,GEAR,ACCESSORIES,SUBSAMPLE,AREA_SWEPT,SPECIES_CODE,SEX,LENGTH,SHELL_CONDITION,EGG_COLOR,EGG_CONDITION,CLUTCH_SIZE,MERUS_LENGTH,CHELA_HEIGHT,DISEASE_CODE,DISEASE_DORSAL,DISEASE_VENTRAL,DISEASE_LEGS,CALCULATED_WEIGHT,WEIGHT,SAMPLING_FACTOR
-17439,162,201702,88,3,0,9022017,910,0.521,2.902,14.475,Y,2.778,61.00562,-168.03519,S-01,27,30,10.1,9.3,137,44,15,1,0.012247121,69322,,,,,,,,,,,,,,,
-17419,94,201702,56,3,0,8262017,1316,0.532,2.942,16.317,Y,1.818,60.99729,-167.32733,S-02,21,23,10.8,10.8,137,44,15,1,0.013995906,69322,,,,,,,,,,,,,,,
-17357,94,201702,18,3,0,8162017,1902,0.534,3.049,14.897,Y,2.705,61.00993,-166.67181,S-03,17,20,12,11.9,137,44,15,1,0.013242631,69322,,,,,,,,,,,,,,,
-17091,162,201702,14,3,0,8042017,1020,0.515,2.829,15.73,Y,2.463,60.99402,-168.71334,S-18,34,36,9.5,8.7,137,44,15,1,0.012974174,69322,,,,,,,,,,,,,,,
-17080,94,201702,15,3,0,8042017,958,0.507,2.75,15.293,Y,2.391,60.99735,-169.43424,S-19,39,41,10.9,6,137,44,15,1,0.012261495,69322,1,184.9,2,,,,,68.3,,,,,5327.347678,,1
-17080,94,201702,15,3,0,8042017,958,0.507,2.75,15.293,Y,2.391,60.99735,-169.43424,S-19,39,41,10.9,6,137,44,15,1,0.012261495,69322,1,133.6,3,,,,,41.8,,,,,1919.433855,,1
-17088,162,201702,11,3,0,8032017,1323,0.532,2.935,16.66,Y,2.296,60.99503,-170.13331,S-20,46,48,10.8,1.3,183,44,15,2,0.014256113,69322,1,124.6,2,,,,,38.4,,,,,1541.79673,1626,1
-17077,94,201702,12,3,0,8032017,1244,0.51,2.751,16.375,Y,2.146,61.00328,-170.81818,S-21,51,53,10.5,-0.6,183,44,15,1,0.013133786,69322,,,,,,,,,,,,,,,
-17444,162,201702,87,3,0,9012017,1659,0.522,2.958,14.694,Y,2.802,61.33972,-168.0662,T-01,27,30,9.6,6.8,137,44,15,1,0.012672323,69322,2,119.2,2,4,1,5,,,,,,,1233.01259,,1
-17418,94,201702,55,3,0,8262017,1028,0.532,2.85,15.603,Y,2.242,61.34474,-167.37217,T-02,22,24,11,10.4,137,44,15,1,0.012964955,69322,,,,,,,,,,,,,,,
