Spcode,Name,Cname,Genus,Taxon,Taxon2,Taxon3,Ecotype ,Taxon2_u
69250,Lithodidae,stone crab unident,Lithodidae,Crab_O,Crab,Invertebrate,Detribor,Crab_O
69316,Hapalogaster grebnitzkii,Soft crab,Hapalogaster,Crab_O,Crab,Invertebrate,Detribor,Crab_O
69322,Paralithodes camtschaticus,red king crab,Paralithodes,Crab_P,Crab,Invertebrate,Detribor,Crab_R
69323,Paralithodes platypus,blue king crab,Paralithodes,Crab_P,Crab,Invertebrate,Detribor,Crab_B
70000,Mollusca ,mollusk unident.,Mollusca ,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
70100,Chitonidea,chiton unidentNone,Chitonidea,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
70108,Cryptochiton stelleri,Gumboot chiton,Cryptochiton,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
70115,Amicula vestita,None,Amicula,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
71001,Gastropod sp. Eggs,Snail eggs,Gastropod,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
71004,Neptunea sp. eggs,Snail eggs,Neptunea,Snail_N,Snail,Invertebrate,Filter-feeder,Snail
71010,Nudibranchia,nudibranch unidentNone,Nudibranchia,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
71030,Tritonia diomedea,Giant orange nudibranch,Tritonia,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
71250,Nudibranchia,Dorid nudibranch unidentified,Nudibranchia,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
71500,Gastropod unident.,snail unidentNone,Gastropod,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
71504,Asterophila japonica,None,Asterophila,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
71525,Natica sp.,None,Natica,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
71530,Natica clausa,Arctic moonsnail,Natica,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
71535,Natica aleutica,None,Natica,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
71537,Natica russa,rusty moonsnail,Natica,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
71575,Polinices sp.,None,Polinices,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
71580,Polinices pallidus,pale moonsnail,Polinices,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
71585,Onchidiopsis glacialis,icy lamellaria,Onchidiopsis,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
71586,Capulacmaea commoda (=Piliscus commoda),widemouth lamellaria,Capulacmaea,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
71634,Tachyrhynchus erosus,eroded turretsnail,Tachyrhynchus,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
71640,Crepidula sp.,slipper shell,Crepidula,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
71681,Crepidula grandis,great slippersnail,Crepidula,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
71710,Colus sp.,None,Colus,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
71722,Colus hypolispus,oblique whelk,Colus,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
71723,Colus ombronius,shady whelk,Colus,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
71726,Colus spitzbergensis,thick-ribbed whelk,Colus,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
71750,Volutopsius sp. (=Pyrulofusus sp.),None,Volutopsius,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
71753,Pyrulofusus deformis,warped whelk,Pyrulofusus,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
71755,Volutopsius harpa,left-hand whelk,Volutopsius,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
71756,Volutopsius fragilis,fragile whelk,Volutopsius,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
71759,Volutopsius filosus,threaded whelk,Volutopsius,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
71760,Volutopsius castaneus,volute whelk,Volutopsius,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
71763,Volutopsius stefanssoni,shouldered whelk,Volutopsius,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
71764,Volutopsius middendorffii,tulip whelk,Volutopsius,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
71772,Beringius beringii,None,Beringius,Snail_B,Snail,Invertebrate,Filter-feeder,Snail
71774,Beringius stimpsoni,None,Beringius,Snail_B,Snail,Invertebrate,Filter-feeder,Snail
71800,Neptunea sp.,None,Neptunea,Snail_N,Snail,Invertebrate,Filter-feeder,Snail
71835,Neptunea borealis,None,Neptunea,Snail_N,Snail,Invertebrate,Filter-feeder,Snail
71870,Neptunea lyrata,lyre whelk,Neptunea,Snail_N,Snail,Invertebrate,Filter-feeder,Snail
71882,Neptunea ventricosa,fat whelk,Neptunea,Snail_N,Snail,Invertebrate,Filter-feeder,Snail
71884,Neptunea heros,Northern Neptune,Neptunea,Snail_N,Snail,Invertebrate,Filter-feeder,Snail
71891,Plicifusus kroyeri,None,Plicifusus,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
71894,Plicifusus verkruzeni,None,Plicifusus,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
71895,Volutopsius callorhinus,None,Volutopsius,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
71910,Liomesus sp.,None,Liomesus,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
71911,Liomesus ooides,egg whelk,Liomesus,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
72019,Antiplanes sp.,None,Antiplanes,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
72022,Antiplanes piona,None,Antiplanes,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
72059,Aforia sp.  (=Leucosyrinx sp.),None,Aforia ,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
72060,Aforia circinata,None,Aforia ,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
72063,Oenopota sp.,None,Oenopota,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
72100,Oenopota harpa,None,Oenopota,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
72103,Oenopota harpa,None,Oenopota,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
72181,Obesotoma simplex,None,Obesotoma,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
72300,Trichotropidae,None,Trichotropidae,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
72303,Trichotropis insignis,gray hairysnail,Trichotropis,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
72305,Trichotropis bicarinata,two-keel hairysnail,Trichotropis,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
72370,Trichotropis kroyeri,None,Trichotropis,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
72403,Boreotrophon muriciformis (=Trophon=Trophonopsis dalli),None,Boreotrophon,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
72406,Boreotrophon clathratus (=Trophon clathratus),clathrate trophon,Boreotrophon,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
72420,Boreotrophon sp.,None,Boreotrophon,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
72510,trochid unident.,trochid unidentNone,Trochid,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
72533,Margarites giganteus,giant margarite,Margarites,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
72540,Solariella sp.,None,Solariella,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
72541,Solariella obscura,None,Solariella,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
72543,Solariella varicosa,None,Solariella,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
72740,Buccinum sp.,None,Buccinum,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
72743,Buccinum angulosum,None,Buccinum,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
72744,Buccinum fringillum,finch whelk,Buccinum,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
72752,Buccinum scalariforme,ladder whelk (prevNone silky whelk),Buccinum,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
72755,Buccinum polare,polar whelk,Buccinum,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
72756,Buccinum solenum,None,Buccinum,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
72758,Buccinum glaciale,glacial whelk,Buccinum,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
72759,Buccinum tenellum,None,Buccinum,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
72795,Volutomitra alaskana,None,Volutomitra,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
72800,Velutina undata,wavy lamellaria,Velutina,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
72802,Velutina plicatilis,oblique lamellaria,Velutina,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
72805,Velutina velutina,smooth lamellaria,Velutina,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
73185,Admete laevior,None,Admete,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
73351,Cylichna alba,white chalice-bubble,Cylichna,Snail_O,Snail,Invertebrate,Filter-feeder,Snail
74000,Pelecypoda,bivalve unidentNone,Pelecypoda,Bivalves,Bivalves,Invertebrate,Filter-feeder,Bivalves
74050,Mytilidae,mussel unidentNone,Mytilidae,Bivalves,Bivalves,Invertebrate,Filter-feeder,Bivalves
74080,Mytilus edulis,blue mussel (prevNone bay mussel),Mytilus,Bivalves,Bivalves,Invertebrate,Filter-feeder,Bivalves
74311,Hiatella arctica,Arctic hiatella,Hiatella,Bivalves,Bivalves,Invertebrate,Filter-feeder,Bivalves
74414,Yoldia sp.,Yoldia unidentified,Yoldia,Bivalves,Bivalves,Invertebrate,Filter-feeder,Bivalves
74417,Yoldia myalis  (prev. file yoldia),None,Yoldia,Bivalves,Bivalves,Invertebrate,Filter-feeder,Bivalves
74425,Yoldiella sp.,None,Yoldiella,Bivalves,Bivalves,Invertebrate,Filter-feeder,Bivalves
74435,Nuculana sp.,None,Nuculana,Bivalves,Bivalves,Invertebrate,Filter-feeder,Bivalves
74560,Musculus sp.,None,Musculus,Bivalves,Bivalves,Invertebrate,Filter-feeder,Bivalves
74561,Musculus niger,black mussel,Musculus,Bivalves,Bivalves,Invertebrate,Filter-feeder,Bivalves
74562,Musculus discors,discordant mussel,Musculus,Bivalves,Bivalves,Invertebrate,Filter-feeder,Bivalves
74639,Astarte crenata,crenulate astarte,Astarte,Bivalves,Bivalves,Invertebrate,Filter-feeder,Bivalves
74640,Astarte sp.,None,Astarte,Bivalves,Bivalves,Invertebrate,Filter-feeder,Bivalves
74641,Tridonta borealis (=Astarte borealis),boreal tridonta,Tridonta,Bivalves,Bivalves,Invertebrate,Filter-feeder,Bivalves
74654,Crassicardia crassidens (=cyclocardia crassidens),thick carditid,Crassicardia,Bivalves,Bivalves,Invertebrate,Filter-feeder,Bivalves
74655,Cyclocardia crebricostata,many-rib cyclocardia,Cyclocardia,Bivalves,Bivalves,Invertebrate,Filter-feeder,Bivalves
74980,Clinocardium sp.,cockle unidentNone,Clinocardium,Bivalves,Bivalves,Invertebrate,Filter-feeder,Bivalves
74981,Cardiidae,cockle unidentNone,Cardiidae,Bivalves,Bivalves,Invertebrate,Filter-feeder,Bivalves
74982,Clinocardium nuttallii,Nuttall cockle,Clinocardium,Bivalves,Bivalves,Invertebrate,Filter-feeder,Bivalves
74983,Clinocardium ciliatum,hairy cockle,Clinocardium,Bivalves,Bivalves,Invertebrate,Filter-feeder,Bivalves
74985,Clinocardium californiense,California cockle,Clinocardium,Bivalves,Bivalves,Invertebrate,Filter-feeder,Bivalves
75102,Tresus nuttallii,Pacific gaper  (prevNone horse neck clam),Tresus,Bivalves,Bivalves,Invertebrate,Filter-feeder,Bivalves
75110,Mactromeris sp. (=Spisula sp.),None,Mactromeris,Bivalves,Bivalves,Invertebrate,Filter-feeder,Bivalves
75111,Mactromeris polynyma (=Spisula polynyma),Arctic surfclam (prevNone  Alaska surf clam),Mactromeris,Bivalves,Bivalves,Invertebrate,Filter-feeder,Bivalves
75240,Macoma sp.,None,Macoma,Bivalves,Bivalves,Invertebrate,Filter-feeder,Bivalves
75241,Macoma nasuta,bent-nose macoma (prevNone common macoma),Macoma,Bivalves,Bivalves,Invertebrate,Filter-feeder,Bivalves
75242,Macoma calcarea,chalky macoma,Macoma,Bivalves,Bivalves,Invertebrate,Filter-feeder,Bivalves
75247,Macoma brota,heavy macoma,Macoma,Bivalves,Bivalves,Invertebrate,Filter-feeder,Bivalves
75267,Siliqua alta,Alaska razor   (prevNone northern razor clam),Siliqua,Bivalves,Bivalves,Invertebrate,Filter-feeder,Bivalves
75284,Serripes sp.,None,Serripes,Bivalves,Bivalves,Invertebrate,Filter-feeder,Bivalves
75285,Serripes groenlandicus,Greenland cockle,Serripes,Bivalves,Bivalves,Invertebrate,Filter-feeder,Bivalves
75286,Serripes laperousii,broad cockle,Serripes,Bivalves,Bivalves,Invertebrate,Filter-feeder,Bivalves
75330,Mya sp.,None,Mya,Bivalves,Bivalves,Invertebrate,Filter-feeder,Bivalves
75332,Mya arenaria,softshell  (prevNone soft shelled clam),Mya,Bivalves,Bivalves,Invertebrate,Filter-feeder,Bivalves
75333,Mya truncata,Macoma clam,Mya,Bivalves,Bivalves,Invertebrate,Filter-feeder,Bivalves
75335,Mya pseudoarenaria,false softshell,Mya,Bivalves,Bivalves,Invertebrate,Filter-feeder,Bivalves
75336,Mya elegans,elegant soft shell,Mya,Bivalves,Bivalves,Invertebrate,Filter-feeder,Bivalves
75372,Xylophaga californica,None,Xylophaga ,Bivalves,Bivalves,Invertebrate,Filter-feeder,Bivalves
75381,Bankia sp.,Shipworm unidentNone,Bankia ,Bivalves,Bivalves,Invertebrate,Filter-feeder,Bivalves
75382,Bankia setacea,feathery shipworm,Bankia ,Bivalves,Bivalves,Invertebrate,Filter-feeder,Bivalves
75410,Lyonsia arenosa,sandy lyonsia,Lyonsia,Bivalves,Bivalves,Invertebrate,Filter-feeder,Bivalves
75551,Cardiomya sp.,None,Cardiomya ,Bivalves,Bivalves,Invertebrate,Filter-feeder,Bivalves
75600,Pododesmus macroschisma,Alaska falsejingle  (prevNone rock jingle),Pododesmus ,Bivalves,Bivalves,Invertebrate,Filter-feeder,Bivalves
75609,Anomia sp.,None,Anomia ,Bivalves,Bivalves,Invertebrate,Filter-feeder,Bivalves
75610,Anomiidae,falsejingles unidentNone(prevNonerock jingles unidentNone),Anomiidae,Bivalves,Bivalves,Invertebrate,Filter-feeder,Bivalves
77000,Scaphopoda,scaphopod unidentNone,Scaphopoda,Univalve,Invertebrate,Invertebrate,Filter-feeder,Invertebrate
77011,Dentalium sp.,None,Dentalium ,Univalve,Invertebrate,Invertebrate,Filter-feeder,Invertebrate
77012,Rhabdus dalli (=Dentalium dalli),Dall tuskshell,Rhabdus,Univalve,Invertebrate,Invertebrate,Filter-feeder,Invertebrate
78000,Cepalopoda,cephalopod unidentNone,Cepalopoda,Cepalopoda,Invertebrate,Invertebrate,Swimmer,Invertebrate
78001,Sepiida,cuttlefish unidentNone,Sepiida,Cuttlefish,Invertebrate,Invertebrate,Swimmer,Invertebrate
78010,Octopodidae,octopus unidentNone,Octopodidae,Octopus,Invertebrate,Invertebrate,Swimmer,Invertebrate
78011,Octopodidae,pelagic octopus unidentNone,Octopodidae,Octopus,Invertebrate,Invertebrate,Swimmer,Invertebrate
78012,Octopus leioderma,smoothskin octopus,Octopus ,Octopus,Invertebrate,Invertebrate,Swimmer,Invertebrate
78030,Opisthoteuthis californiana,flapjack devilfish,Octopus ,Octopus,Invertebrate,Invertebrate,Swimmer,Invertebrate
78403,Octopus dofleini,giant octopus,Octopus ,Octopus,Invertebrate,Invertebrate,Swimmer,Invertebrate
78452,Benthoctopus sp.,None,Benthoctopus,Octopus,Invertebrate,Invertebrate,Swimmer,Invertebrate
78502,Vampyroteuthis infernalis,None,Vampyroteuthis ,Octopus,Invertebrate,Invertebrate,Swimmer,Invertebrate
79000,Teuthida,squid unidentNone,.,Squid,Invertebrate,Invertebrate,Swimmer,Invertebrate
79001,Taningia danae,rhomboid squid,Taningia ,Squid,Invertebrate,Invertebrate,Swimmer,Invertebrate
79020,Rossia pacifica,eastern Pacific bobtail,Rossia ,Squid,Invertebrate,Invertebrate,Swimmer,Invertebrate
79120,Loligo opalescens,Loligo opalescens,Loligo ,Squid,Invertebrate,Invertebrate,Swimmer,Invertebrate
79200,Gonatus sp.,None,Gonatus ,Squid,Invertebrate,Invertebrate,Swimmer,Invertebrate
79201,Gonatus onyx,clawed armhook squid,Gonatus ,Squid,Invertebrate,Invertebrate,Swimmer,Invertebrate
79202,Gonatus berry,Berry armhook squid,Gonatus ,Squid,Invertebrate,Invertebrate,Swimmer,Invertebrate
79203,Gonatus pyros,None,Gonatus ,Squid,Invertebrate,Invertebrate,Swimmer,Invertebrate
79204,Gonatus californiensis,None,Gonatus ,Squid,Invertebrate,Invertebrate,Swimmer,Invertebrate
79210,Berryteuthis magister,magistrate armhook squid  (prevNone red squid),Berryteuthis,Squid,Invertebrate,Invertebrate,Swimmer,Invertebrate
79250,Gonatopsis sp.,None,Gonatopsis,Squid,Invertebrate,Invertebrate,Swimmer,Invertebrate
79252,Gonatopsis borealis,None,Gonatopsis,Squid,Invertebrate,Invertebrate,Swimmer,Invertebrate
79254,Gonatopsis makko,None,Gonatopsis,Squid,Invertebrate,Invertebrate,Swimmer,Invertebrate
79260,Ommastrephes bartrami,flying squid,Ommastrephes ,Squid,Invertebrate,Invertebrate,Swimmer,Invertebrate
79302,Moroteuthis robusta,robust clubhook squid,Moroteuthis ,Squid,Invertebrate,Invertebrate,Swimmer,Invertebrate
79310,Onychoteuthidae,None,Onychoteuthidae,Squid,Invertebrate,Invertebrate,Swimmer,Invertebrate
79311,Onychoteuthis banksi,None,Onychoteuthis ,Squid,Invertebrate,Invertebrate,Swimmer,Invertebrate
79312,Onychoteuthis borealijaponicus,boreal clubhook squid,Onychoteuthis ,Squid,Invertebrate,Invertebrate,Swimmer,Invertebrate
79351,Abraliopsis sp.,None,Abraliopsis,Squid,Invertebrate,Invertebrate,Swimmer,Invertebrate
79352,Abraliopsis felis,None,Abraliopsis,Squid,Invertebrate,Invertebrate,Swimmer,Invertebrate
79404,Chiroteuthis calyx,None,Chiroteuthis,Squid,Invertebrate,Invertebrate,Swimmer,Invertebrate
79442,Taonius pavo,None,Taonius,Squid,Invertebrate,Invertebrate,Swimmer,Invertebrate
79504,Octopoteuthis deletron,None,Octopoteuthis,Squid,Invertebrate,Invertebrate,Swimmer,Invertebrate
79510,Histioteuthis heteropsis,None,Histioteuthis,Squid,Invertebrate,Invertebrate,Swimmer,Invertebrate
79512,Histioteuthis dofleini,None,Histioteuthis,Squid,Invertebrate,Invertebrate,Swimmer,Invertebrate
80000,Asteroidea,starfish unidentNone,Asteroidea,Star_A,Starfish,Invertebrate,Predator,Starfish
80010,Evasterias sp.,None,Evasterias,Star_E,Starfish,Invertebrate,Predator,Starfish
80015,Evasterias troschelii,None,Evasterias,Star_E,Starfish,Invertebrate,Predator,Starfish
80020,Evasterias echinosoma,None,Evasterias,Star_E,Starfish,Invertebrate,Predator,Starfish
80110,Leptasterias groenlandica,None,Leptasterias,Star_L,Starfish,Invertebrate,Predator,Starfish
80111,Leptasterias hexactis,None,Leptasterias,Star_L,Starfish,Invertebrate,Predator,Starfish
80200,Lethasterias nanimensis,None,Lethasterias,Star_L,Starfish,Invertebrate,Predator,Starfish
80540,Henricia sp.,Black-spined sea star,Henricia,Star_O,Starfish,Invertebrate,Predator,Starfish
80542,Henricia sanguinolenta,None,Henricia,Star_O,Starfish,Invertebrate,Predator,Starfish
80544,Henricia leviuscula,None,Henricia,Star_O,Starfish,Invertebrate,Predator,Starfish
80546,Henricia tumida,None,Henricia,Star_O,Starfish,Invertebrate,Predator,Starfish
80590,Leptasterias polaris,None,Leptasterias,Star_L,Starfish,Invertebrate,Predator,Starfish
80594,Leptasterias arctica,None,Leptasterias,Star_L,Starfish,Invertebrate,Predator,Starfish
80595,Leptasterias sp.,None,Leptasterias,Star_L,Starfish,Invertebrate,Predator,Starfish
81090,Crossaster sp.,None,Crossaster,Star_O,Starfish,Invertebrate,Predator,Starfish
81092,Crossaster borealis,None,Crossaster,Star_O,Starfish,Invertebrate,Predator,Starfish
81095,Crossaster papposus,rose sea star,Crossaster,Star_O,Starfish,Invertebrate,Predator,Starfish
81310,Pteraster sp.,None,Pteraster,Star_O,Starfish,Invertebrate,Predator,Starfish
81315,Pteraster tesselatus,None,Pteraster,Star_O,Starfish,Invertebrate,Predator,Starfish
81355,Pteraster obscurus,None,Pteraster,Star_O,Starfish,Invertebrate,Predator,Starfish
81360,Diplopteraster multipes,None,Diplopteraster,Star_O,Starfish,Invertebrate,Predator,Starfish
81370,Thrissacanthias penicillatus,None,Thrissacanthias,Star_O,Starfish,Invertebrate,Predator,Starfish
81741,Asterias sp.,None,Asterias,Star_A,Starfish,Invertebrate,Predator,Starfish
81742,Asterias amurensis,purple-orange seastar,Asterias,Star_A,Starfish,Invertebrate,Predator,Starfish
82500,Echinoidea,sea urchin unidentNone,Echinoidea,Sea urchin,Invertebrate,Invertebrate,Detribor,Urchin
82510,Strongylocentrotus droebachiensis,green sea urchin,Strongylocentrotus,Sea urchin,Invertebrate,Invertebrate,Detribor,Urchin
82530,Allocentrotus fragilis,orange-pink sea urchin,Allocentrotus,Sea urchin,Invertebrate,Invertebrate,Detribor,Urchin
82730,Echinarachnius,sand dollar unidentNone,Echinarachnius,Sea urchin,Invertebrate,Invertebrate,Detribor,Invertebrate
82740,Echinarachnius parma,Parma sand dollar,Echinarachnius,Sea urchin,Invertebrate,Invertebrate,Detribor,Invertebrate
83000,Ophiuroid unident.,brittlestarfish unidentNone,Ophiuroid,Star_B,Starfish,Invertebrate,Predator,Starfish
83010,Basketstarfish unident. (Use 83020),basketstarfish unidentNone,Gorgonocephalus,Star_B,Starfish,Invertebrate,Predator,Starfish
83020,Gorgonocephalus caryi,basketstarfish ,Gorgonocephalus,Star_B,Starfish,Invertebrate,Predator,Starfish
83320,Ophiura sarsi,None,Ophiura,Star_B,Starfish,Invertebrate,Predator,Starfish
83400,Ophiopholis aculeata,None,Ophiopholis,Star_B,Starfish,Invertebrate,Predator,Starfish
85000,Holothuroidea (phylum),sea cucumber unidentNone,Holothuroidea,Sea cucumber,Coral,Invertebrate,Detribor,Coral
85169,Pentamera lissoplaca,Crescent Sea Cucumber,Pentamera,Sea cucumber,Coral,Invertebrate,Detribor,Coral
85180,Bathyplotes sp,Bathyplotes sp,Bathyplotes,Sea cucumber,Coral,Invertebrate,Detribor,Coral
85200,Cucumaria sp.,None,Cucumaria,Sea cucumber,Coral,Invertebrate,Detribor,Coral
85210,Psolus sp.,None,Psolus,Sea cucumber,Coral,Invertebrate,Detribor,Coral
91000,Porifera,sponge unidentNone,Porifera,Sponge,Coral,Invertebrate,Filter-feeder,Coral
91050,Halichondria panicea,barrel sponge,Halichondria,Sponge,Coral,Invertebrate,Filter-feeder,Coral
94000,Sipuncula (phylum),sipunculid worm unidentNone,Sipuncula,Flatworm,Invertebrate,Invertebrate,Filter-feeder,Invertebrate
94500,Echiura sp.,Echiurid worm unidentified,Echiura,Flatworm,Invertebrate,Invertebrate,Filter-feeder,Invertebrate
95000,Bryozoa (phylum),bryozoan unidentNone,Bryozoa,Bryozoa,Coral,Invertebrate,Filter-feeder,Coral
95010,Bryozoan sp. A unident. (brain coral appearance),None,Bryozoa,Bryozoa,Coral,Invertebrate,Filter-feeder,Coral
95020,Eucratea loricata,Feathery bryozoan,Eucratea,Bryozoa,Coral,Invertebrate,Filter-feeder,Coral
95030,Flustra serrulata,leafy bryozoan,Flustra,Bryozoa,Coral,Invertebrate,Filter-feeder,Coral
95050,Porella compressa,flattened bryozoan,Porella,Bryozoa,Coral,Invertebrate,Filter-feeder,Coral
95060,Escharopsis sarsi,None,Escharopsis,Bryozoa,Coral,Invertebrate,Filter-feeder,Coral
95070,Rhamphostomella costata,None,ribbed bryozoan,Bryozoa,Coral,Invertebrate,Filter-feeder,Coral
95080,Cellepora ventricosa,coral bryozoan,Cellepora,Bryozoa,Coral,Invertebrate,Filter-feeder,Coral
95100,Microporina articulata,None,Microporina,Bryozoa,Coral,Invertebrate,Filter-feeder,Coral
97000,Brachiopoda (phylum),brachiopod unidentNone,Brachiopoda,Brachiopoda,Invertebrate,Invertebrate,Filter-feeder,Invertebrate
97110,Terebratulina sp.,None,Terebratulina,Brachiopoda,Invertebrate,Invertebrate,Filter-feeder,Invertebrate
97115,Terebratulina unguicula,None,Terebratulina,Brachiopoda,Invertebrate,Invertebrate,Filter-feeder,Invertebrate
97116,Laqueus californianus  (= L. vancouverensis),None,Laqueus,Brachiopoda,Invertebrate,Invertebrate,Filter-feeder,Invertebrate
98000,Ascidiacea (phylum),tunicate unident,Ascidiacea,Sea squirts,Coral,Invertebrate,Filter-feeder,Coral
98001,Ascidiacea (phylum),cow-eye tunicate (new species a),Ascidiacea,Sea squirts,Coral,Invertebrate,Filter-feeder,Coral
98002,Ascidiacea (phylum),transparent tunicate (new species b),Ascidiacea,Sea squirts,Coral,Invertebrate,Filter-feeder,Coral
98082,Styela rustica,sea potato,Styela,Sea squirts,Coral,Invertebrate,Filter-feeder,Coral
98100,Boltenia sp.,None,Boltenia,Sea squirts,Coral,Invertebrate,Filter-feeder,Coral
98105,Boltenia ovifera,None,Boltenia,Sea squirts,Coral,Invertebrate,Filter-feeder,Coral
98200,Halocynthia sp. (syn. Tethyum sp.),sea peach unidentNone,Halocynthia,Sea squirts,Coral,Invertebrate,Filter-feeder,Coral
98205,Halocynthia aurantium (=Tethyum aurantium),sea peach,Halocynthia,Sea squirts,Coral,Invertebrate,Filter-feeder,Coral
98300,Ascidiacea,compound ascidian unidentNone,Ascidiacea,Sea squirts,Coral,Invertebrate,Filter-feeder,Coral
98310,Aplidium sp.,None,Aplidium,Sea squirts,Coral,Invertebrate,Filter-feeder,Coral
98311,Aplidium new species a,orange aplidium,Aplidium,Sea squirts,Coral,Invertebrate,Filter-feeder,Coral
98320,Synoicum sp.,None,Synoicum,Sea squirts,Coral,Invertebrate,Filter-feeder,Coral
99900,Molgula sp.,None,Molgula,Sea grapes,Coral,Invertebrate,Filter-feeder,Coral
99990,invertebrate unident.,invertebrate unidentNone,Invertebrate,Invertebrate,Invertebrate,Invertebrate,Other,Invertebrate
99993,invertebrate eggs unident.,invertebrate eggs unidentNone,inv_e,Invertebrate,Invertebrate,Invertebrate,Other,Invertebrate
99994,empty gastropod shells,empty gastropod shells,Shell,Debries,Other,Other,Other,Other
99999,Debries,Debries,Debries,Debries,Other,Other,Other,Other
