# Spcode.csv,,,,,,,,
# Derived from NOAA Species code book and NBS survey ,,,,,,,,
# Taxon.Confidence  indicates how confident  species Iding is. ,,,,,,,,
"# Taxon, Taxon2, Taxon3, Ecotype are arbitrary classifications to group individual species to some cohesive groups.",,,,,,,,
#,,,,,,,,
#,,,,,,,,
Spcode,me,Cme,Genus,Taxon.Confidence,Taxon,Taxon2,Taxon3,Ecotype
21110,Clupea pallasi  (=Clupea harengus pallasi),Pacific herring,Clupea,High,Herring,swim_f,vertebrate,Swimmer
21201,Nezumia stelgidolepis,California grenadier,,,,,,
21300,Cottidae,sculpin unidentNone,Cottidae,High,Sculpn_O,Sculpin,vertebrate,Bottom-dwelling
21313,Gymnocanthus sp.,None,Gymnocanthus,Moderate,Sculpn_G,Sculpin,vertebrate,Bottom-dwelling
21314,Gymnocanthus pistilliger,threaded sculpin,Gymnocanthus,Moderate,Sculpn_G,Sculpin,vertebrate,Bottom-dwelling
21315,Gymnocanthus tricuspis,Arctic staghorn sculpin,Gymnocanthus,Moderate,Sculpn_G,Sculpin,vertebrate,Bottom-dwelling
21316,Gymnocanthus galeatus,Armorhead Sculpin,,Moderate,Sculpn_G,Sculpin,vertebrate,Bottom-dwelling
21329,Gymnocanthus detrisus,Purplegray Sculpin,,Moderate,Sculpn_G,Sculpin,vertebrate,Bottom-dwelling
21331,Artediellus sp.,None,Artediellus,Moderate,Sculpn_O,Sculpin,vertebrate,Bottom-dwelling
21332,Artediellus miacanthus,bride sculpin  (Northern hookear sculpin),Artediellus,Low,Sculpn_O,Sculpin,vertebrate,Bottom-dwelling
21333,Artediellus pacificus,Hookhorn sculpin,Artediellus,Moderate,Sculpn_O,Sculpin,vertebrate,Bottom-dwelling
21334,Artediellus scaber,hamecon,Artediellus,Low,Sculpn_O,Sculpin,vertebrate,Bottom-dwelling
21335,Artediellus uncitus,Arctic hookear sculpin,Artediellus,,Sculpn_O,Sculpin,vertebrate,Bottom-dwelling
21339,Malacocottus sp.,None,Malacocottus,,Sculpn_O,Sculpin,vertebrate,Bottom-dwelling
21341,Malacocottus zonurus,darkfin sculpin,Malacocottus,,Sculpn_O,Sculpin,vertebrate,Bottom-dwelling
21342,Hemilepidotus sp.,Irish lord,Hemilepidotus,High,Sculpn_O,Sculpin,vertebrate,Bottom-dwelling
21345,Hemilepidotus zapus,Longfin Irish Lord,Hemilepidotus,,Sculpn_O,Sculpin,vertebrate,Bottom-dwelling
21346,Hemilepidotus hemilepidotus,red Irish lord,Hemilepidotus,,Sculpn_O,Sculpin,vertebrate,Bottom-dwelling
