Year,Haul ,Spcode,Sample_kg,Sample_n,Whole_kg,Whole_n,Comments
2021,1,69322,,,27.49,49,
2021,1,69323,,,,,
2021,1,10120,,,,,
2021,1,21722,,,11.48,3,
2021,1,21740,,,20.43,12,
2021,1,81742,32.58,398,,,
2021,1,10285,0.056,2,,,
2021,1,66570,0.298,63,,,
2021,1,80200,0.328,3,,,
2021,1,66502,0.22,149,,,
2021,1,99999,2.496,,,,
2021,1,21375,3.552,3,,,
2021,1,23801,0.044,3,,,
2021,1,21735,1.872,21,,,
2021,1,43000,1.542,31,,,
2021,1,41201,,,,,
2021,1,10210,5.192,32,,,
2021,1,20322,,,2.828,1,
2021,1,68577,0.036,2,,,
2021,1,21388,0.11,1,,,
2021,1,83020,0.186,2,,,
2021,1,66203,0.042,6,,,
2021,1,68781,2.876,11,,,
2021,1,81095,0.138,4,,,
2021,1,71511,0.002,1,,,
2021,1,21110,0.11,2,,,
2021,1,10220,7.28,17,,,
2021,1,80020,0.868,5,,,
2021,1,66045,0.14,84,,,
2021,1,21741,0.042,3,,,
2021,1,74640,0.01,1,,,
2021,2,69322,,,75.28,106,
2021,2,69323,,,,,
2021,2,10120,,,,,
2021,2,21722,,,27.1,5,
2021,2,21740,,,15.59,10,
2021,2,81742,28.46,315,,,
2021,2,10285,1.24,3,,,
2021,2,66570,0.106,17,,,
2021,2,80200,3.72,10,,,
2021,2,66502,0.062,37,,,
2021,2,99999,2.31,,,,
2021,2,21375,0.332,1,,,
2021,2,23801,0.022,1,,,
2021,2,21735,0.394,4,,,
2021,2,43000,0.372,5,,,
2021,2,41201,,,,,
2021,2,10210,4.516,8,,,
2021,2,20322,,,2.15,1,
2021,2,68580,0.012,2,,,
2021,2,69061,0.044,4,,,
2021,2,21110,0.07,1,,,
2021,2,21741,0.012,2,,,
2021,2,10220,1.096,1,,,
2021,2,75284,0.058,3,,,
2021,2,40500,0.446,2,,,
2021,2,80020,3.91,14,,,
2021,2,66203,0.018,2,,,
2021,2,20061,0.01,1,,,
2021,2,20041,0.016,1,,,
2021,3,69322,,,3.406,5,
2021,3,69323,,,,,
2021,3,10120,,,0.68,1,
2021,3,21722,,,21.85,5,
2021,3,21740,,,10.61,8,
2021,3,81742,17.08,199,,,
2021,3,10285,2.748,9,,,
2021,3,66570,0.142,36,,,
2021,3,80200,8.04,20,,,
2021,3,66502,0.052,38,,,
2021,3,99999,1.91,,,,
2021,3,21375,0.186,3,,,
2021,3,23801,0.022,2,,,
2021,3,21735,0.084,1,,,
2021,3,43000,,,,,
2021,3,41201,,,,,
2021,3,10210,9.51,24,,,
2021,3,471,,,7.45,1,
2021,3,10220,1.97,2,,,
2021,3,80020,5.532,13,,,
2021,3,68781,0.16,2,,,
2021,3,69061,0.036,4,,,
2021,3,85203,0.004,1,,,
2021,3,83020,0.136,1,,,
2021,3,80540,0.006,1,,,
2021,3,75284,0.104,2,,,
2021,3,74640,0.004,1,,,
2021,3,21725,0.016,1,,,
2021,3,66045,0.002,1,,,
2021,4,69322,,,,,
2021,4,69323,,,,,
2021,4,10120,,,,,
2021,4,21722,,,43.08,16,
2021,4,21740,,,14.88,11,
2021,4,81742,19.35,330,,,
2021,4,10285,2.114,2,,,
2021,4,66570,0.014,5,,,
2021,4,80200,8.15,29,,,
2021,4,66502,0.01,9,,,
2021,4,99999,2.546,,,,
2021,4,21375,6.59,5,,,
2021,4,23801,0.016,2,,,
2021,4,21735,,,,,
2021,4,43000,0.16,3,,,
2021,4,41201,0.02,2,,,
2021,4,10210,5.174,6,,,
2021,4,10220,5.47,3,,,
2021,4,80020,7.01,16,,,
2021,4,10260,0.392,1,,,
2021,4,68580,0.762,,,,didn't get a count
2021,4,74414,0.002,1,,,
2021,4,69061,0.024,2,,,
2021,4,69086,0.21,3,,,
2021,4,74311,0.006,1,,,
2021,4,68577,0.013,2,,,
2021,4,98310,1.108,3,,,
2021,4,74562,0.008,3,,,
2021,4,98082,0.036,9,,,
2021,4,80595,0.188,23,,,
2021,4,80590,0.208,1,,,
2021,4,23041,0.01,2,,,
2021,4,21110,0.164,2,,,
2021,4,85203,0.002,1,,,
2021,4,10211,0.018,1,,,
2021,4,83020,0.16,2,,,
2021,5,69322,,,1.982,2,
2021,5,69323,,,,,
2021,5,10120,,,2.73,1,
2021,5,21722,,,15.44,5,
2021,5,21740,,,16.35,12,
2021,5,81742,24.94,278,,,
2021,5,10285,6.4,17,,,
2021,5,66570,0.058,10,,,
2021,5,80200,4.38,14,,,
2021,5,66502,0.032,25,,,
2021,5,99999,2.184,,,,
2021,5,21375,3.762,3,,,
2021,5,23801,0.012,2,,,
2021,5,21735,,,,,
2021,5,43000,0.196,4,,,
2021,5,41201,,,,,
2021,5,10210,3.9,6,,,
2021,5,20041,0.112,3,,,
2021,5,80020,3.12,9,,,
2021,5,10220,4.072,6,,,
2021,5,10260,1.324,2,,,
2021,5,80595,0.03,7,,,
2021,5,68580,0.016,4,,,
2021,5,68577,0.004,1,,,
2021,5,40500,0.026,1,,,
2021,5,59111,0.002,1,,,
2021,5,10140,0.02,2,,,
2021,5,99998,0.026,5,,,
2021,5,71511,0.002,1,,,
2021,5,69061,0.004,1,,,
2021,5,75241,0.034,1,,,
2021,5,98000,0.002,2,,,
2021,6,69322,,,,3,didn't get weight
2021,6,69323,,,,,
2021,6,10120,,,,,
2021,6,21722,,,19.1,5,
2021,6,21740,,,23.85,19,
2021,6,81742,21.18,198,,,
2021,6,10285,0.666,4,,,
2021,6,66570,0.058,19,,,
2021,6,80200,6.604,22,,,
2021,6,66502,0.004,6,,,
2021,6,99999,2.932,,,,
2021,6,21375,3.674,3,,,
2021,6,23801,,,,,
2021,6,21735,,,,,
2021,6,43000,,,,,
2021,6,41201,0.026,3,,,
2021,6,10210,3.75,7,,,
2021,6,80020,8.16,13,,,
2021,6,10220,2.82,2,,,
2021,6,98310,2.056,3,,,
2021,6,68577,0.16,2,,,
2021,6,80595,1.308,76,,,
2021,6,40500,0.264,1,,,
2021,6,83020,0.29,2,,,
2021,6,75284,0.052,1,,,
2021,6,80590,0.29,2,,,
2021,6,68580,0.012,2,,,
2021,6,10260,0.022,1,,,
2021,6,50301,0.001,2,,,
2021,6,82510,0.142,2,,,
2021,6,83000,0.018,5,,,
2021,6,95000,0.01,1,,,
2021,7,69322,,,,1,didn’t get weight
2021,7,69323,,,,,
2021,7,10120,,,,,
2021,7,21722,,,15.462,4,
2021,7,21740,,,13.538,10,
2021,7,81742,21.38,259,,,
2021,7,10285,3.888,23,,,
2021,7,66570,0.024,7,,,
2021,7,80200,1.212,7,,,
2021,7,66502,0.006,8,,,
2021,7,99999,0.544,,,,
2021,7,21375,2.454,4,,,
2021,7,23801,0.014,1,,,
2021,7,21735,,,,,
2021,7,43000,,,,,
