#  2017 Trawl Suvery Species data ,,,,,,,
#  Sample weight and numbers are the sum of 3 subsamples,,,,,,,
#  Whole weight and numbers actual number and weight pulled from the entier tow before subsamples were taken,,,,,,,
#,,,,,,,
#,,,,,,,
#,,,,,,,
Year,Haul,Spcode,Sample_kg,Sample_n,Whole_kg,Whole_n,Comments
2017,1,69322,,,,8,
2017,1,21740,,,10.2,6,
2017,1,81742,15.5,162,,,
2017,1,10285,0.57,2,,,
2017,1,80200,0.28,2,,,
2017,1,66548,0.007,1,,,
2017,1,21375,1.4,5,,,
2017,1,23801,0.015,2,,,
2017,1,21735,7.15,88,,,
2017,1,43000,1.37,,,,
2017,1,41201,,,,,
2017,1,10210,1.35,25,,,
2017,1,99999,2.3,,,,
2017,1,68577,0.353,5,,,
2017,1,69061,0.019,2,,,
2017,1,21313,0.02,2,,,
2017,1,21932,0.07,1,,,
2017,1,21405,0.012,1,,,
2017,1,10140,0.135,3,,,
2017,1,68781,3.35,13,,,
2017,1,80020,0.75,6,,,
2017,1,81095,0.014,1,,,
2017,1,20041,0.008,2,,,
2017,1,21350,0.11,9,,,
2017,1,23055,0.011,1,,,
2017,1,21388,0.107,2,,,
2017,1,66611,0.38,88,,,
2017,1,66530,0.017,7,,,
2017,1,66050,0.037,7,,,
2017,1,66203,0.014,4,,,
2017,1,66045,0.032,16,,,
2017,2,69322,,,9.65,18,
2017,2,21740,,,28.5,17,
2017,2,81742,10.25,93,,,
2017,2,10285,0.556,4,,,
2017,2,80200,4.2,20,,,
2017,2,66548,0.008,2,,,
2017,2,21375,4.2,4,,,
2017,2,23801,,,,,
2017,2,21735,3.28,44,,,
2017,2,43000,,,,,
2017,2,41201,,,,,
2017,2,10210,1.08,13,,,
2017,2,99999,0.001,,,,
2017,2,68781,0.924,7,,,
2017,2,10220,4.2,5,,,
2017,2,80020,2.9,11,,,
2017,2,68580,0.088,5,,,
2017,2,21388,0.314,5,,,
2017,2,66611,0.37,70,,,
2017,2,83020,0.062,1,,,
2017,2,68577,0.204,3,,,
2017,2,69061,0.01,1,,,
2017,2,66530,0.002,1,,,
2017,2,66045,0.002,2,,,
2017,3,69322,,,2.25,2,
2017,3,10120,,,10.5,2,
2017,3,21720,,,13.7,4,
2017,3,21740,,,45.6,35,
2017,3,81742,8.6,56,,,
2017,3,10285,0.21,1,,,
2017,3,80200,2.3,9,,,
2017,3,66548,,,,,
2017,3,21375,,,,,
2017,3,23801,0.25,1,,,
2017,3,21735,2.83,19,,,
2017,3,43000,,,,,
2017,3,41201,,,,,
2017,3,10210,,,,,
2017,3,99999,0.258,,,,
2017,3,68781,1.16,5,,,
2017,3,68580,0.169,6,,,
2017,3,40500,20.2,,,,
2017,3,69120,0.048,1,,,
2017,3,10220,0.246,1,,,
2017,3,83020,0.115,2,,,
2017,3,21388,0.03,1,,,
2017,3,66611,0.088,10,,,
2017,3,66045,0.004,3,,,
2017,3,80595,0.011,1,,,
2017,3,80020,1.11,9,,,
2017,4,69322,,,7.5,10,
2017,4,10120,,,,,
2017,4,21720,,,5.8,2,
2017,4,21740,,,9.95,9,
2017,4,81742,13.8,93,,,
2017,4,10285,1.18,1,,,
2017,4,80200,0.97,5,,,
2017,4,66548,,,,,
2017,4,21375,,,,,
2017,4,23801,0.002,1,,,
2017,4,21735,,,,,
2017,4,43000,,,,,
2017,4,41201,0.05,1,,,
2017,4,10210,0.07,1,,,
2017,4,99999,0.236,,,,
2017,4,80595,1.34,72,,,
2017,4,80020,2.99,13,,,
2017,4,83020,0.178,4,,,
2017,4,21388,0.106,2,,,
2017,4,10260,0.57,1,,,
2017,4,68580,0.274,24,,,
2017,4,68577,0.066,1,,,
2017,4,81095,0.03,1,,,
2017,4,98000,0.05,1,,,
2017,4,71511,0.01,21,,,
2017,4,83000,0.006,3,,,
2017,5,69322,,,1.5,2,
2017,5,10120,,,10,1,
2017,5,21720,,,84.3,27,
2017,5,21740,,,60.25,56,
2017,5,81742,31.05,247,,,
2017,5,10285,4.7,4,,,
2017,5,80200,0.4,2,,,
2017,5,66548,,,,,
2017,5,21375,5.6,10,,,
2017,5,23801,0.015,1,,,
2017,5,21735,1.4,10,,,
2017,5,43000,,,,,
2017,5,41201,0.129,5,,,
2017,5,10210,0.72,9,,,
2017,5,99999,0.35,,,,
2017,5,80595,1.04,54,,,
2017,5,68577,0.078,3,,,
2017,5,21110,0.022,1,,,
2017,5,21740,0.044,3,,,
2017,5,23055,0.157,6,,,
2017,5,69061,0.02,1,,,
2017,5,98000,0.97,88,,,
2017,5,83020,0.29,5,,,
2017,5,81095,0.022,1,,,
2017,5,80590,0.072,1,,,
2017,5,69120,0.034,1,,,
2017,5,85200,0.022,6,,,
2017,5,80020,2.601,16,,,
2017,5,21313,0.105,2,,,
2017,5,66611,0.002,1,,,
2017,6,69322,,,,,
2017,6,10120,,,,,
2017,6,21720,,,27.1,10,
2017,6,21740,,,21.3,20,
2017,6,81742,20.2,108,,,
2017,6,10285,0.91,1,,,
2017,6,80200,1.6,12,,,
2017,6,66548,,,,,
2017,6,21375,3.9,3,,,
2017,6,23801,0.012,1,,,
2017,6,21735,0.6,5,,,
2017,6,43000,,,,,
2017,6,41201,,,,,
2017,6,10210,0.31,4,,,
2017,6,99999,0.148,,,,
2017,6,80590,1.062,9,,,
2017,6,80020,0.165,5,,,
2017,6,21110,0.849,35,,,
2017,6,83020,0.886,4,,,
2017,6,10140,0.36,9,,,
2017,6,82510,0.072,1,,,
2017,6,81095,0.038,1,,,
2017,6,68580,0.16,17,,,
2017,6,80595,0.35,23,,,
2017,6,21725,0.25,4,,,
2017,6,20041,0.01,1,,,
2017,6,23055,0.08,4,,,
2017,6,69120,0.98,10,,,
2017,6,69086,0.076,1,,,
2017,7,69322,,,,,
2017,7,10120,,,,,
2017,7,21720,,,,,
2017,7,21740,,,1.03,1,
2017,7,81742,,,26.35,234,
2017,7,10285,,,,,
2017,7,80200,,,2.6,15,
2017,7,66548,,,,,
2017,7,21375,,,2.55,3,
2017,7,23801,,,,,
2017,7,21735,,,,,
2017,7,43000,,,,,
2017,7,41201,,,0.11,4,
2017,7,10210,,,,,
2017,7,99999,,,0.134,,
2017,7,83020,,,6.75,43,
2017,7,80590,,,4.9,27,
2017,7,80595,,,0.47,26,
2017,7,68577,,,0.168,2,
2017,7,68580,,,0.103,10,
2017,7,80020,,,2.64,7,
2017,7,83000,,,0.02,8,
2017,7,21110,,,0.135,5.5,
2017,7,10211,,,0.034,1,
2017,7,10140,,,0.05,1,
2017,7,21313,,,0.038,1,
