Year,Haul,Spcode,Sample_kg,Sample_n,Whole_kg,Whole_n,Comments
2008,1,10210,1.65,35,,,
2008,1,10220,10.8,8,,,
2008,1,10285,1,17,,,
2008,1,20061,0.02,1,,,
2008,1,21388,0.15,2,,,
2008,1,21725,0.02,2,,,
2008,1,21735,1.1,12,,,
2008,1,23801,0.012,1,,,
2008,1,41201,0.155,12,,,
2008,1,43000,0.19,3,,,
2008,1,66530,0.033,12,,,
2008,1,66548,0.021,11,,,
2008,1,66611,0.05,12,,,
2008,1,68781,1.4,9,,,
2008,1,69010,0.2,2,,,
2008,1,69061,0.71,21,,,
2008,1,69322,3.96,5,,,
2008,1,71001,0.004,1,,,
2008,1,71753,1.18,7,,,
2008,1,71772,0.07,1,,,
2008,1,71800,0.64,1,,,
2008,1,75285,0.01,1,,,
2008,1,80020,3.8,7,,,
2008,1,80200,6.8,24,,,
2008,1,81742,23.8,457,,,
2008,1,82510,2.2,25,,,
2008,1,83020,0.15,1,,,
2008,1,95020,0.002,1,,,
2008,1,98082,0.12,2,,,
2008,1,99999,0.32,,,,
2008,2,10210,0.45,13,,,
2008,2,10285,0.1,1,,,
2008,2,21375,0.447,5,,,
2008,2,21388,0.12,3,,,
2008,2,21423,0.004,1,,,
2008,2,21725,0.046,5,,,
2008,2,21735,1,15,,,
2008,2,23801,0.192,14,,,
2008,2,24185,0.5,1,,,
2008,2,41201,0.25,13,,,
2008,2,66045,0.037,16,,,
2008,2,66050,0.005,1,,,
2008,2,66203,0.024,4,,,
2008,2,66530,0.01,5,,,
2008,2,66548,0.02,8,,,
2008,2,66601,0.038,2,,,
2008,2,66611,0.318,62,,,
2008,2,68781,0.65,3,,,
2008,2,69010,0.288,6,,,
2008,2,69061,0.138,15,,,
2008,2,69322,4.15,5,,,
2008,2,71250,0.002,1,,,
2008,2,71884,3,10,,,
2008,2,80020,3.05,3,,,
2008,2,80200,4.5,10,,,
2008,2,80540,0.003,1,,,
2008,2,80590,0.6,1,,,
2008,2,81742,41.2,317,,,
2008,2,82510,2.55,57,,,
2008,2,83020,0.6,6,,,
2008,2,95020,0.2,30,,,
2008,2,99999,2.75,,,,
2008,3,10210,0.6,23,,,
2008,3,20322,1.25,1,,,
2008,3,21110,0.043,1,,,
2008,3,21313,0.05,4,,,
2008,3,21375,0.118,9,,,
2008,3,21405,0.011,1,,,
2008,3,21735,0.5,7,,,
2008,3,23801,0.37,18,,,
2008,3,24180,0.01,1,,,
2008,3,24185,0.22,2,,,
2008,3,24189,0.09,1,,,
2008,3,41201,0.042,5,,,
2008,3,43000,3.22,37,,,
2008,3,66548,0.1,46,,,
2008,3,66601,0.02,1,,,
2008,3,66611,0.01,3,,,
2008,3,68781,0.9,8,,,
2008,3,69035,1.37,19,,,
2008,3,69061,0.02,1,,,
2008,3,69090,0.65,4,,,
2008,3,69322,7.35,11,,,
2008,3,71884,3.95,16,,,
2008,3,74980,0.03,1,,,
2008,3,75286,0.736,19,,,
2008,3,80200,3,8,,,
2008,3,81742,34.85,339,,,
2008,3,82510,8.4,206,,,
2008,3,83020,0.15,2,,,
2008,3,95020,0.119,3,,,
2008,3,98000,0.01,1,,,
2008,3,98082,0.03,3,,,
2008,3,99999,14,,,,
2008,4,10210,0.085,4,,,
2008,4,10285,0.045,1,,,
2008,4,21313,0.08,5,,,
2008,4,21375,0.04,3,,,
2008,4,21388,0.11,2,,,
2008,4,21405,0.005,1,,,
2008,4,21735,0.404,3,,,
2008,4,23801,0.07,4,,,
2008,4,41201,0.658,29,,,
2008,4,65100,0.11,2,,,
