#  2014 Trawl Suvery Species data ,,,,,,,
#  Sample weight and numbers are the sum of 3 subsamples,,,,,,,
#  Whole weight and numbers actual number and weight pulled from the entier tow before subsamples were taken,,,,,,,
#,,,,,,,
#,,,,,,,
#,,,,,,,
Year,Haul,Spcode,Sample_kg,Sample_n,Whole_kg,Whole_n,Comments
2014,1,69322,,,10.4,23,
2014,1,81742,30.35,586,,,
2014,1,10285,0.18,2,,,
2014,1,66611,1.607,298,,,
2014,1,80200,2.8,19,,,
2014,1,66548,0.012,1,,,
2014,1,99997,2.91,,,,
2014,1,21735,7.6,80,,,
2014,1,43000,1.302,34,,,
2014,1,41201,0.015,1,,,
2014,1,10210,1.343,59,,,
2014,1,68781,3.126,21,,,
2014,1,21110,0.08,1,,,
2014,1,23055,0.089,2,,,
2014,1,68580,1.522,65,,,
2014,1,68577,0.03,2,,,
2014,1,85210,0.16,2,,,
2014,1,56300,0.02,1,,,
2014,1,80020,2.978,19,,,
2014,1,21388,0.628,17,,,
2014,1,20041,0.032,1,,,
2014,1,21313,0.029,1,,,
2014,1,21350,0.068,1,,,
2014,1,98000,0.79,9,,,
2014,1,81095,0.098,4,,,
2014,1,83020,0.178,4,,,
2014,1,95030,0.021,3,,,
2014,1,91000,0.069,3,,,
2014,1,71001,0.022,1,,,
2014,1,71750,0.203,1,,,
2014,1,66050,0.053,8,,,
2014,1,66203,0.029,3,,,
2014,1,66601,0.032,1,,,
2014,1,66530,0.022,2,,,
2014,2,69322,,,24.05,45,
2014,2,10120,,,9.68,3,
2014,2,81742,20.15,205,,,
2014,2,66611,1.533,278,,,
2014,2,80200,1.867,16,,,
2014,2,99997,0.462,,,,
2014,2,21375,0.04,2,,,
2014,2,21735,9.2,105,,,
2014,2,43000,0.284,12,,,
2014,2,41201,0.002,1,,,
2014,2,10210,2.344,66,,,
2014,2,10220,4.326,8,,,
2014,2,50301,0.003,1,,,
2014,2,68781,0.597,4,,,
2014,2,68577,0.017,1,,,
2014,2,68580,0.343,18,,,
2014,2,23055,0.224,4,,,
2014,2,80020,2.126,13,,,
2014,2,66530,0.061,19,,,
2014,2,66045,0.015,1,,,
2014,2,21725,0.016,1,,,
2014,2,21740,0.033,2,,,
2014,2,23808,0.045,2,,,
2014,2,21405,0.01,1,,,
2014,2,21388,0.165,4,,,
2014,2,10140,0.036,7,,,
2014,2,95030,0.034,3,,,
2014,2,50000,0.024,2,,,
2014,2,98000,0.078,5,,,
2014,2,71001,0.006,1,,,
2014,2,40500,1.376,6,,,
2014,2,20041,0.015,1,,,
2014,3,69322,,,145.5,191,
2014,3,69323,,,2.5,1,
