"#  ADF&G 2020 trawl survey Haul data   # Haul_rate : r (retow), d(bad tow)  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Haul,Station,Haul_rate,Net,Date,Lat_Deg_Start,Lat_Min_Start,Long_Deg_Start,Long_Min_Start,Lat_Deg_End,Lat_Min_End,Long_Deg_End,Long_Min_End,Compas,Time_Start,Time_End,Tow_minutes,Tow_dist_NM,Depth_Min_fm,Depth_Max_fm,Depth_Ave_fm,Clouds,Sea,Swell,Scope_fm,Gear_perf,Temp_Surf_C,Temp_Bottom_C,Sal_PSU,Comments
2020,1,203,,,7/31/2020,64,29.99,164,13.06,64,29.94,164,10.5,80,10:20,10:47,27,1,,11,9.8,9,1,,30,20,12.5,5.5,29.76,
2020,2,202,,,7/31/2020,64,30.04,163,4,64,30.61,163,48.59,83,13:26,13:48,22,1,7.9,8,7.9,8,1,1,25,20,12.5,6.6,,
2020,3,180,,,7/31/2020,64,30.01,163,30.01,64,19.14,163,50.68,87,16:07,16:26,19,1,8,8,8,,,,30,20,13.5,4.7,27.69,
2020,4,179,,,7/31/2020,64,20.06,163,27.47,64,20.17,163,25.19,97,18:12,18:36,24,1,9.1,10.1,9.5,8,1,1,28,20,13.8,5.9,29.85,
2020,5,153,,,8/1/2020,64,9.07,163,27.19,64,10.29,163,28.99,222,08:08,08:33,25,1,10,10,10,8,2,2,30,20,13.9,4.2,30.4,
2020,6,152,,,8/1/2020,64,10.08,163,3.93,64,9.79,163,5.71,205,11:05,11:28,23,1,12,13,12.5,5,2,2,39,20,13.1,3.4,30.52,
2020,7,151,,,8/1/2020,64,10.77,162,42.59,64,9.85,162,43.96,190,14:05,14:29,24,1,11,11,11,5,3,2,33,20,13.7,3.5,31.36,
2020,8,150,,,8/1/2020,64,11.06,162,18.75,64,10.45,162,20.53,208,17:08,17:32,24,1,8.2,8.4,8.3,4,3,2,25,20,14.4,3,31.7112,
2020,9,176,,,8/1/2020,64,19.73,162,17.72,64,18.86,162,18.86,198,19:29,19:55,26,1,8.9,8.9,8.9,4,2,1,25,20,14.2,5.3,28.8562,
2020,10,175,,,8/2/2020,64,19.37,161,56.09,64,18.46,161,57.24,199,07:45,08:10,25,1,8.6,9,8.8,3,3,2,26,20,14.2,3.4,29.257,
2020,11,149,,,8/2/2020,64,9.86,161,56.44,64,9.08,161,57.78,190,09:44,10:09,25,1,9.5,9.5,9.5,4,3,2,29,20,14.2,2.5,32.2917,
2020,12,148,,,8/2/2020,64,9.72,161,32.68,64,8.33,161,33.49,180,12:07,12:32,25,1,8.8,8.8,8.8,5,2,1,26,26,14.4,2.6,30.5121,
2020,13,121,,,8/2/2020,64,0.01,161,35.39,63,59.04,161,36.04,181,14:34,14:58,24,1,9,9.1,9,4,2,1,27,20,14.9,2.6,31.705,
2020,14,94,,,8/2/2020,63,50.86,161,36.76,63,49.87,161,36.27,145,16:44,17:08,22,1,7.7,8,7.8,4,2,1,26,20,14.9,3.8,30.5104,
2020,15,95,,,8/2/2020,63,49.5,161,57,63,48.52,161,56.2,143,18:53,19:19,26,1,8,8,8,3,2,1,25,20,14.8,4.2,31.157,
2020,16,122,,,8/3/2020,64,0.75,161,56.48,63,59.75,161,50.01,187,07:37,08:02,25,1,9.1,9.1,9.1,1,3,2,27,20,14.7,4,31.6169,
2020,17,123,,,8/3/2020,63,59.34,162,18.78,63,58.41,162,19.77,148,10:05,10:30,25,1,8.9,8.9,8.9,2,2,2,28,20,14.6,6,29.2034,
2020,18,96,,,8/3/2020,63,50.03,162,21.45,63,49.26,162,22.96,193,12:01,12:23,22,1,8.3,8.3,8.3,3,3,2,25,20,14.8,6.8,28.7999,
2020,19,97,,,8/3/2020,63,50.07,162,43.44,63,49.61,162,45.45,201,14:12,14:36,24,1,8.5,8.5,8.5,2,2,1,27,20,15.1,9,26.6414,
2020,20,124,,,8/3/2020,63,59.18,162,43.65,63,58.17,162,43.6,145,16:34,16:59,25,1,9.2,9.2,9.2,2,2,2,27,20,14.8,5.6,30.7853,
2020,21,125,,,8/3/2020,63,59.63,163,5.97,63,58.6,163,6.49,165,18:26,18:51,25,1,8.9,9,9,2,2,1,27,20,14,7.4,28.521,
