Year,Haul,Station,Net,Date,Lat_Deg_Start,Lat_Min_Start,Long_Deg_Start,Long_Min_Start,Lat_Deg_End,Lat_Min_End,Long_Deg_End,Long_Min_End,Compas,Time_Start,Time_End,Tow_dist_NM,Depth_Min_fm,Depth_Max_fm,Depth_Ave_fm,Clouds,Sea,Swell,Scope_fm,Gear_perf,Temp_Surf_C,Temp_Bottom_C,Sal_PSU,Comments
2014,1,184,1,7/18/2014,64,19.93,165,21.44,64,20.77,165,22.71,330,11:00,11:27,1,12.4,12.6,,2,1,1,69,20,10.1,10.3,,
2014,2,185,1,7/18/2014,64,19.74,165,44.82,64,20.74,165,45.02,11,14:36,15:06,1,10.5,11.6,,2,2,1,43,20,10.5,10.3,,
2014,3,186,1,7/20/2014,64,20,166,6.81,64,19.68,166,9,250,9:23,9:52,1,12.1,12.1,,9,1,1,71,20,10.4,8.1,,
2014,4,159,1,7/20/2014,64,10.02,165,53.18,64,9.63,165,55.29,239,11:50,12:18,1,10.5,10.6,,9,1,1,65,20,10.2,7.1,,
2014,5,160,1,7/20/2014,64,10.1,166,21.84,64,9.13,166,22.17,185,14:09,14:39,1,12.6,12.7,,9,1,1,65,20,8.3,5.1,,
2014,6,182,1,7/22/2014,64,20,164,35.67,64,20.08,164,33.39,99,9:58,10:27,1,7.5,7.5,,4,1,1,45,20,10.2,10.2,,
2014,7,156,1,7/22/2014,64,9.99,164,35.43,64,10.42,164,33.36,64,12:02,12:32,1,7.5,7.7,,2,1,1,44,20,10.4,9,,
2014,8,155,1,7/22/2014,64,9.99,164,12.51,64,9.74,164,10.31,122,14:12,14:41,1,9.5,10,,2,1,1,50,20,10.9,6.4,,CTD didn't mark
2014,9,127,1,7/22/2014,64,0.02,163,50.08,63,59.1,163,49.21,167,16:41,17:10,1,9,9,,2,1,1,45,20,12,6.4,,
2014,10,126,1,7/22/2014,64,0.01,163,27.32,64,0.01,163,29.6,272,18:40,19:10,1,9.7,9.7,,2,1,1,50,20,12.2,5,,
2014,11,125,1,7/22/2014,64,0.01,163,4.66,64,0.01,163,6.93,270,20:56,21:26,1,9.1,9.2,,2,1,1,45,20,11.7,5.6,,
2014,12,124,1,7/23/2014,64,0.02,162,41.68,63,59.92,162,43.93,263,6:22,6:52,1,9.4,9.5,,9,2,1,45,20,11.9,5.3,,
2014,13,123,1,7/23/2014,63,59.99,162,19.14,64,0.21,162,21.37,270,8:32,9:01,1,9,9.1,,9,1,2,44,1,11.9,4.4,,"Doors collapsing? Cables were slack, skipper thought due to large waves, reducing our catch"
2014,14,176,1,7/23/2014,64,20.01,162,17.36,64,19.02,162,17.35,180,12:55,13:25,1,9.3,9.4,,9,1,2,50,1,12.5,4.3,,Lots of mud; net cut to remove branch; net torn on stanchion (4-5' tear)
2014,15,150,1,7/24/2014,64,10,162,18.23,64,9.89,162,15.97,110,7:30,7:56,1,8.7,8.7,,8,1,2,44,1,12,4.6,,"Halfway through, had to increase speed to keep doors from crossing, looked like they were rolled up."
2014,16,151,1,7/24/2014,64,10,162,41.12,64,10.49,162,39.13,79,10:45,11:15,1,10.6,11,,5,1,1,69,1,12.2,3.2,,Big rock ripped a small hole.
2014,17,152,1,7/24/2014,64,10.02,163,3.96,64,10.04,163,1.68,105,13:23,13:53,1,13,13.3,,5,1,1,69,20,12.2,4.1,,
2014,18,153,1,7/24/2014,64,10.02,163,26.86,64,10.02,163,24.59,106,15:40,16:09,1,9.8,10.1,,3,1,1,50,20,12,4.6,,
2014,19,154,1,7/24/2014,64,10.01,163,49.7,64,9.93,163,47.44,113,18:16,18:45,1,9.6,9.7,,2,1,1,50,20,12.6,5.4,,"Towed good, looked good, light haul."
2014,20,203,1,7/25/2014,64,29.29,164,11.97,64,30,164,14.26,273,6:28,6:58,1,9.5,10,,1,1,1,50,20,10.8,7.2,,
2014,21,202,1,7/25/2014,64,30,163,48.86,64,29.64,163,51.03,253,8:45,9:15,1,7.5,7.8,,2,1,1,44,20,10.8,6.2,,
2014,22,179,1,7/25/2014,64,19.99,163,26.31,64,19.99,163,24.03,90,11:28,11:58,1,9.5,9.9,,2,1,1,50,20,11.6,6.5,,
2014,23,180,1,7/25/2014,64,19.96,163,49.16,64,19.26,163,47.55,148,13:40,14:10,1,8.6,8.7,,7,1,1,50,20,12.2,7.4,,Skipper says to stay south of center point at this station.
2014,24,181,1,7/25/2014,64,19.99,164,12.28,64,20.42,164,10.21,100,15:52,16:22,1,6.9,7,,9,1,1,44,20,11.3,9.6,,
2014,25,128,1,7/25/2014,64,0,164,12.84,64,0.8,164,11.46,63,19:24,19:54,1,8.3,8.4,,5,1,1,45,20,11.6,10.3,,
2014,26,129,1,7/26/2014,64,0,164,35.45,64,0.29,164,37.62,282,6:19,6:49,1,9.6,9.7,,8,1,1,45,20,10.3,9.1,,
2014,27,130,1,7/26/2014,64,0,164,58.19,63,59.38,164,59.96,238,8:23,8:51,1,9,9.1,,8,1,1,45,20,9,8.4,,
2014,28,131,1,7/26/2014,64,0.01,165,20.85,64,0.27,165,18.67,93,10:21,10:51,1,8.7,8.9,,8,1,1,45,20,8.3,8.1,,
2014,29,157,1,7/26/2014,64,9.99,164,58.24,64,10.56,164,56.32,90,12:58,13:28,1,7.7,8,,9,1,1,43,20,9.8,8.9,,
2014,30,158,1,7/26/2014,60,10.01,165,21.09,64,9.92,165,18.82,116,15:08,15:37,1,8.9,9,,9,1,1,45,20,8.6,8,,
2014,31,187,4,7/28/2014,64,20.01,166,30.11,64,20.68,166,28.43,73,10:10,10:39,1,13.7,14.5,,9,1,1,75,20,10.2,7.3,,
2014,32,161,4,7/28/2014,64,10,166,29.56,64,10.18,166,27.33,101,12:23,12:53,1,13.3,13.7,,6,1,1,75,20,8.1,6.2,,
