Year,Agent,Haul,Spcode,Total_n,Weight_kg
1976,NOAA,1,10210,13,0.363
1976,NOAA,1,10220,8,4.853
1976,NOAA,1,20040,6,0.181
1976,NOAA,1,21110,1,0.045
1976,NOAA,1,21375,2,1.588
1976,NOAA,1,21725,104,4.173
1976,NOAA,1,21735,470,25.22
1976,NOAA,1,21740,2,0.045
1976,NOAA,1,23055,46,1.406
1976,NOAA,1,24185,1,0.091
1976,NOAA,1,69322,9,10.523
1976,NOAA,1,80000,412,73.709
1976,NOAA,2,10210,9,0.907
1976,NOAA,2,10220,35,20.865
1976,NOAA,2,10285,3,0.318
1976,NOAA,2,21110,5,0.68
1976,NOAA,2,21313,1,0.091
1976,NOAA,2,21375,2,1.361
1976,NOAA,2,21725,23,0.544
1976,NOAA,2,21735,223,12.247
1976,NOAA,2,21740,14,0.045
1976,NOAA,2,23041,1,0.045
1976,NOAA,2,23055,11,0.454
1976,NOAA,2,69322,4,4.536
1976,NOAA,2,80000,256,45.813
1976,NOAA,3,10210,17,0.907
1976,NOAA,3,10220,21,15.876
1976,NOAA,3,10285,6,1.134
1976,NOAA,3,20040,1,0.045
1976,NOAA,3,21110,3,0.091
1976,NOAA,3,21313,1,0.045
1976,NOAA,3,21375,4,4.536
1976,NOAA,3,21725,4,0.045
1976,NOAA,3,21735,183,9.752
1976,NOAA,3,21740,1,0.045
1976,NOAA,3,23041,1,0.045
1976,NOAA,3,23055,4,0.091
1976,NOAA,3,23807,7,0.136
1976,NOAA,3,24189,1,0.045
1976,NOAA,3,69322,12,14.515
1976,NOAA,3,80000,826,147.871
1976,NOAA,4,10210,7,0.454
1976,NOAA,4,10220,13,7.257
1976,NOAA,4,10285,15,3.629
1976,NOAA,4,20322,1,4.536
1976,NOAA,4,21110,1,0.045
1976,NOAA,4,21313,4,0.045
1976,NOAA,4,21375,16,11.794
1976,NOAA,4,21725,62,0.726
1976,NOAA,4,21735,432,24.494
1976,NOAA,4,21740,23,0.227
1976,NOAA,4,23055,11,0.227
1976,NOAA,4,23807,7,0.227
1976,NOAA,4,24189,1,2.268
1976,NOAA,4,69322,39,8.618
1976,NOAA,4,80000,655,117.254
1976,NOAA,5,10210,3,0.091
1976,NOAA,5,10220,7,4.99
1976,NOAA,5,10285,6,1.361
1976,NOAA,5,21110,1,0.045
1976,NOAA,5,21313,1,0.045
1976,NOAA,5,21355,2,0.045
1976,NOAA,5,21375,5,3.629
1976,NOAA,5,21388,1,0.045
1976,NOAA,5,21725,17,0.318
1976,NOAA,5,21735,447,31.298
1976,NOAA,5,21740,15,0.181
1976,NOAA,5,23055,14,0.68
1976,NOAA,5,23807,2,0.045
1976,NOAA,5,68580,2,0.091
1976,NOAA,5,69322,17,19.504
1976,NOAA,5,80000,1332,238.363
1976,NOAA,7,10210,134,2.268
1976,NOAA,7,10285,15,0.68
1976,NOAA,7,20040,48,0.907
1976,NOAA,7,21313,5,0.227
1976,NOAA,7,21375,3,2.268
1976,NOAA,7,21388,12,0.68
1976,NOAA,7,21735,63,1.361
1976,NOAA,7,23807,4,0.045
1976,NOAA,7,41221,1,0.01
1976,NOAA,7,43000,24,1.8
1976,NOAA,7,66045,48,0.045
1976,NOAA,7,66530,127,0.045
1976,NOAA,7,66611,64,0.363
1976,NOAA,7,68781,49,5.443
1976,NOAA,7,69010,36,1.437
1976,NOAA,7,69322,39,16.783
1976,NOAA,7,80000,1019,223.621
1976,NOAA,7,80200,1,0.3
1976,NOAA,7,80540,1,0.1
1976,NOAA,7,81742,1017,223.8
1976,NOAA,8,10210,116,2.268
1976,NOAA,8,10211,90,4.536
1976,NOAA,8,10220,5,3.175
1976,NOAA,8,10285,34,1.361
1976,NOAA,8,20040,19,0.907
1976,NOAA,8,21313,4,0.136
1976,NOAA,8,21375,10,3.175
1976,NOAA,8,21388,8,0.68
1976,NOAA,8,21725,18,0.68
1976,NOAA,8,21735,371,17.237
1976,NOAA,8,24189,1,0.136
1976,NOAA,8,68781,49,7.938
1976,NOAA,8,69322,38,18.824
1976,NOAA,8,80000,188,33.566
1976,NOAA,9,10210,141,6.577
1976,NOAA,9,10211,10,0.68
1976,NOAA,9,10220,8,6.804
1976,NOAA,9,10285,39,4.082
1976,NOAA,9,20040,11,0.454
1976,NOAA,9,21313,4,0.091
1976,NOAA,9,21375,22,7.257
1976,NOAA,9,21388,13,1.542
1976,NOAA,9,21735,394,16.783
1976,NOAA,9,23041,1,0.091
1976,NOAA,9,23055,1,0.136
1976,NOAA,9,23807,3,0.454
1976,NOAA,9,24185,1,0.181
1976,NOAA,9,68781,41,7.031
1976,NOAA,9,69322,42,23.587
1976,NOAA,9,80000,380,68.039
1976,NOAA,10,10210,18,1.361
1976,NOAA,10,10220,3,2.268
1976,NOAA,10,10285,6,1.814
1976,NOAA,10,20040,7,0.227
1976,NOAA,10,21313,1,0.136
1976,NOAA,10,21355,2,0.227
1976,NOAA,10,21375,11,3.629
1976,NOAA,10,21388,7,0.68
1976,NOAA,10,21725,87,1.134
1976,NOAA,10,21735,237,17.237
1976,NOAA,10,23041,2,0.136
1976,NOAA,10,23055,3,0.454
1976,NOAA,10,23809,2,0.181
1976,NOAA,10,24185,4,0.454
1976,NOAA,10,68580,31,2.948
1976,NOAA,10,68781,36,5.443
1976,NOAA,10,69322,95,65.317
1976,NOAA,10,80000,1186,212.281
1976,NOAA,11,10210,5,0.227
1976,NOAA,11,10220,3,1.814
1976,NOAA,11,10285,15,2.268
1976,NOAA,11,20040,4,0.045
1976,NOAA,11,21110,17,0.68
1976,NOAA,11,21355,4,0.045
1976,NOAA,11,21375,2,2.268
1976,NOAA,11,21388,33,2.948
1976,NOAA,11,21405,1,0.045
1976,NOAA,11,21725,229,3.629
1976,NOAA,11,21735,1417,86.183
1976,NOAA,11,21740,12,0.227
1976,NOAA,11,21932,10,0.68
1976,NOAA,11,23055,54,1.361
1976,NOAA,11,23807,14,0.227
1976,NOAA,11,23809,3,0.454
1976,NOAA,11,24185,3,2.041
1976,NOAA,11,24189,1,0.045
1976,NOAA,11,41221,2,0.03
1976,NOAA,11,43000,7900,28.1
1976,NOAA,11,66050,150,1.814
1976,NOAA,11,66530,2,0.045
1976,NOAA,11,66601,3,0.045
1976,NOAA,11,66611,200,1.361
1976,NOAA,11,68577,4,0.1
1976,NOAA,11,68580,15,0.227
1976,NOAA,11,68781,1,0.045
1976,NOAA,11,69010,34,0.902
1976,NOAA,11,69322,21,16.783
1976,NOAA,11,71500,47,5.216
1976,NOAA,11,71753,1,0.363
1976,NOAA,11,71772,42,4.808
1976,NOAA,11,74562,1,0.045
1976,NOAA,11,74640,2,0.045
1976,NOAA,11,75240,1,0.045
1976,NOAA,11,80020,18,13.6
1976,NOAA,11,80200,45,13.6
1976,NOAA,11,80540,1,0.001
1976,NOAA,11,80595,1,0.1
1976,NOAA,11,81095,6,0.1
1976,NOAA,11,81355,1,0.05
1976,NOAA,11,81742,1314,289.2
1976,NOAA,11,82510,8,0.5
1976,NOAA,11,85210,2,0.05
1976,NOAA,11,98000,2,5
1976,NOAA,13,10220,11,11.113
1976,NOAA,13,10285,3,0.907
1976,NOAA,13,20040,14,0.227
1976,NOAA,13,21110,46,3.629
1976,NOAA,13,21313,1,0.045
1976,NOAA,13,21355,1,0.045
1976,NOAA,13,21375,7,4.99
1976,NOAA,13,21388,3,0.136
1976,NOAA,13,21725,60,0.907
1976,NOAA,13,21735,542,46.266
1976,NOAA,13,21740,6,0.091
1976,NOAA,13,23055,15,0.68
1976,NOAA,13,23807,6,0.091
1976,NOAA,13,40500,3,2.3
1976,NOAA,13,66045,62,0.091
1976,NOAA,13,66050,13,0.091
1976,NOAA,13,66611,80,0.363
1976,NOAA,13,68577,5,0.1
1976,NOAA,13,68580,16,0.227
1976,NOAA,13,69010,36,0.869
1976,NOAA,13,69322,1,0.68
1976,NOAA,13,71772,2,0.136
1976,NOAA,13,74562,2,0.045
1976,NOAA,13,74983,1,0.045
1976,NOAA,13,75284,1,0.091
1976,NOAA,13,75332,1,0.045
1976,NOAA,13,80020,300,136.2
1976,NOAA,13,80200,319,85.6
1976,NOAA,13,80595,52,0.2
1976,NOAA,13,81742,366,165.9
1976,NOAA,13,82510,1,0.01
1976,NOAA,13,83020,20,2.722
1976,NOAA,15,20040,6,0.227
1976,NOAA,15,21313,3,0.136
1976,NOAA,15,21355,2,0.181
1976,NOAA,15,21375,69,2.722
1976,NOAA,15,21388,1,0.136
1976,NOAA,15,21725,7,0.454
1976,NOAA,15,21735,15,1.814
1976,NOAA,15,22200,3,0.136
1976,NOAA,15,23041,1,0.045
1976,NOAA,15,40500,2,2.3
1976,NOAA,15,41221,1,0.01
1976,NOAA,15,43000,30,2.3
1976,NOAA,15,66045,7,0.045
1976,NOAA,15,66050,6,0.045
1976,NOAA,15,66601,15,0.181
1976,NOAA,15,66611,80,0.318
1976,NOAA,15,69010,36,4.349
1976,NOAA,15,69323,1,0.454
1976,NOAA,15,71753,34,4.037
1976,NOAA,15,71756,22,1.179
1976,NOAA,15,71772,3,0.181
1976,NOAA,15,71882,49,3.856
1976,NOAA,15,71884,19,2.223
1976,NOAA,15,72305,6,0.045
1976,NOAA,15,75284,2,0.045
1976,NOAA,15,80020,14,10.4
1976,NOAA,15,80200,54,16.3
1976,NOAA,15,80540,7,0.03
1976,NOAA,15,80595,25,0.7
1976,NOAA,15,81095,7,0.2
1976,NOAA,15,81355,6,0.3
1976,NOAA,15,81742,36,7.9
1976,NOAA,15,82510,9,0.4
1976,NOAA,15,83020,12,2.948
1976,NOAA,15,98000,4,0.07
1976,NOAA,16,10285,1,0.091
1976,NOAA,16,20040,11,0.68
1976,NOAA,16,21313,17,0.953
1976,NOAA,16,21335,2,0.045
1976,NOAA,16,21375,109,2.948
1976,NOAA,16,21388,5,0.454
1976,NOAA,16,21725,10,0.68
1976,NOAA,16,21735,4,0.907
1976,NOAA,16,22200,1,0.045
1976,NOAA,16,23041,12,0.136
1976,NOAA,16,66601,8,0.136
1976,NOAA,16,66611,253,1.497
1976,NOAA,16,68577,421,13.4
1976,NOAA,16,68580,149,2.903
1976,NOAA,16,69010,116,10.107
1976,NOAA,16,69323,8,3.402
1976,NOAA,16,71726,2,0.045
1976,NOAA,16,71753,8,0.726
1976,NOAA,16,71772,6,0.408
1976,NOAA,16,71882,8,0.726
1976,NOAA,16,71884,3,0.408
1976,NOAA,16,71891,1,0.045
1976,NOAA,16,72305,1,0.045
1976,NOAA,16,75111,2,0.272
1976,NOAA,16,80020,6,4.7
1976,NOAA,16,80200,21,6.3
1976,NOAA,16,80540,12,0.1
1976,NOAA,16,80595,1191,101.7
1976,NOAA,16,81095,4,0.2
1976,NOAA,16,81742,114,25.2
1976,NOAA,16,82510,7,0.5
1976,NOAA,16,83020,881,209.56
1976,NOAA,16,98000,4,2.6
1976,NOAA,17,10210,1,0.091
1976,NOAA,17,20040,5,0.136
1976,NOAA,17,21110,1,0.227
1976,NOAA,17,21313,33,1.814
1976,NOAA,17,21335,1,0.045
1976,NOAA,17,21375,57,3.855
1976,NOAA,17,21388,8,0.68
1976,NOAA,17,21725,7,0.68
1976,NOAA,17,21740,3,0.091
1976,NOAA,17,22200,20,0.68
1976,NOAA,17,23041,1,0.045
1976,NOAA,17,23804,1,0.045
1976,NOAA,17,68580,112,3.13
1976,NOAA,17,69323,58,32.205
1976,NOAA,17,71753,47,5.942
1976,NOAA,17,71772,24,1.769
1976,NOAA,17,80000,620,111.13
1976,NOAA,17,83020,206,50.802
1976,NOAA,18,10140,2,0.454
1976,NOAA,18,21313,34,1.134
1976,NOAA,18,21375,3,1.905
1976,NOAA,18,21388,2,0.454
1976,NOAA,18,21725,3,0.318
1976,NOAA,18,22178,1,0.091
1976,NOAA,18,22200,31,0.454
1976,NOAA,18,24185,1,2.948
1976,NOAA,18,68580,52,1.814
1976,NOAA,18,69323,4,1.814
1976,NOAA,18,71726,16,0.091
1976,NOAA,18,71753,26,1.996
1976,NOAA,18,71756,5,0.272
1976,NOAA,18,71772,21,0.907
1976,NOAA,18,71882,21,1.633
1976,NOAA,18,71884,26,1.769
1976,NOAA,18,71891,5,0.091
1976,NOAA,18,72305,10,0.091
1976,NOAA,18,80000,281,50.349
1976,NOAA,18,83020,85,20.865
1976,NOAA,19,10140,2,0.227
1976,NOAA,19,21313,20,0.907
1976,NOAA,19,21725,7,0.68
1976,NOAA,19,22200,15,0.227
1976,NOAA,19,23807,2,0.045
1976,NOAA,19,24189,4,0.68
1976,NOAA,19,68580,69,1.814
1976,NOAA,19,71530,7,0.045
1976,NOAA,19,71722,1,0.136
1976,NOAA,19,71723,1,0.045
1976,NOAA,19,71726,1,0.045
1976,NOAA,19,71882,1,0.045
1976,NOAA,19,71884,36,2.223
1976,NOAA,19,72752,4,0.045
1976,NOAA,19,72755,6,0.045
1976,NOAA,19,80000,53,9.525
1976,NOAA,19,83020,26,6.35
1976,NOAA,20,21313,18,0.68
1976,NOAA,20,21375,31,22.906
1976,NOAA,20,21725,14,0.454
1976,NOAA,20,22178,1,0.045
1976,NOAA,20,22200,17,0.227
1976,NOAA,20,24189,1,0.091
1976,NOAA,20,68580,35,1.905
1976,NOAA,20,71530,3,0.045
1976,NOAA,20,71722,3,0.045
1976,NOAA,20,71884,12,0.907
1976,NOAA,20,80000,41,7.257
1976,NOAA,21,10140,1,0.091
1976,NOAA,21,10285,1,0.136
1976,NOAA,21,20040,5,0.091
1976,NOAA,21,21347,3,1.361
1976,NOAA,21,21355,7,0.136
1976,NOAA,21,21375,4,2.268
1976,NOAA,21,21725,1,0.045
1976,NOAA,21,21735,1,0.227
1976,NOAA,21,22200,20,1.179
1976,NOAA,21,23041,12,0.091
1976,NOAA,21,24189,1,3.629
1976,NOAA,21,68580,45,0.771
1976,NOAA,21,69323,1,0.136
1976,NOAA,21,71530,1,0.045
1976,NOAA,21,71723,1,0.045
1976,NOAA,21,71726,1,0.045
1976,NOAA,21,71753,1,0.136
1976,NOAA,21,71772,2,0.091
1976,NOAA,21,71870,1,0.091
1976,NOAA,21,71882,4,0.408
1976,NOAA,21,71884,24,2.767
