Year,Agent,Haul,Month,Day,Latitude,Longitude,Tow_dist_km,Tow_minutes,Swept_km2,Swept_NM2,Depth_m,Bottom_Temp,Surface_Temp,Spcode,Weight_kg,CPUE_kg_km2
1996,ADFG,1,8,7,64.3325,-165.3818333,2.5928,27,0.031611418,0.009216424,21.9456,10,,,,
1996,ADFG,2,8,7,64.2985,-165.1815,2.4076,28,0.029353459,0.008558108,18.288,10,,10210,29.2,994.7720233
1996,ADFG,3,8,7,64.33083333,-164.9993333,2.5928,30,0.031611418,0.009216424,29.2608,8.7,,10210,0.3,9.490241906
1996,ADFG,4,8,7,64.332,-164.6376667,2.6854,33,0.032740397,0.009545582,14.6304,9.3,,10210,32.9,1004.87481
1996,ADFG,5,8,7,64.47783333,-164.2551667,2.5928,30,0.031611418,0.009216424,16.4592,9.1,,10210,13,411.2438159
1996,ADFG,6,8,7,64.51066667,-163.8125,2.5002,30,0.030482438,0.008887266,12.8016,10,,10210,10.1,331.3383223
1996,ADFG,7,8,7,64.3415,-164.1821667,2.4076,30,0.029353459,0.008558108,10.9728,8.7,,10210,14,476.9454906
1996,ADFG,8,8,8,64.49466667,-162.317,2.778,29,0.033869376,0.00987474,10.9728,12.4,,10210,7.6,224.3914975
1996,ADFG,9,8,8,64.35516667,-162.2848333,2.5928,33,0.031611418,0.009216424,16.4592,6.5,,10210,5.2,164.4975264
1996,ADFG,10,8,8,64.18866667,-162.3271667,2.5928,31,0.031611418,0.009216424,16.4592,6.1,,10210,0.8,25.30731175
1996,ADFG,11,8,8,64.02183333,-162.2955,2.778,34,0.033869376,0.00987474,14.6304,6.5,,10210,3.7,109.243229
1996,ADFG,12,8,8,63.99516667,-162.6461667,2.48168,32,0.030256643,0.008821434,16.4592,7.3,,10210,3,99.1517811
1996,ADFG,13,8,8,64.14333333,-162.6546667,2.72244,31,0.033191988,0.009677245,20.1168,5.9,,10210,0.6,18.07665125
1996,ADFG,14,8,9,64.34633333,-162.6335,2.57428,30,0.031385622,0.009150592,20.1168,7,,,,
1996,ADFG,15,8,9,64.17616667,-163.0131667,2.74096,34,0.033417784,0.009743077,23.7744,6.7,,10210,1.4,41.89386066
1996,ADFG,16,8,9,64.01033333,-163.0631667,3.1484,36,0.038385293,0.011191372,16.4592,8.1,,10210,15.2,395.9849956
1996,ADFG,17,8,9,63.99683333,-163.433,3.3336,37,0.040643251,0.011849688,18.288,8.3,,10210,2.6,63.97126025
1996,ADFG,18,8,9,64.15566667,-163.4478333,2.778,36,0.033869376,0.00987474,18.288,9.4,,10210,5.5,162.3885837
1996,ADFG,19,8,9,64.31566667,-163.7946667,3.1484,38,0.038385293,0.011191372,14.6304,10.7,,10210,33.4,870.1249245
1996,ADFG,20,8,9,64.33733333,-163.4703333,2.9632,34,0.036127334,0.010533056,16.4592,9.5,,10210,6,166.0792333
1996,ADFG,21,8,10,64.00133333,-163.8326667,2.53724,31,0.03093403,0.009018929,16.4592,9.5,,10210,11.3,365.2934962
1996,ADFG,22,8,10,64.152,-163.8055,2.9632,35,0.036127334,0.010533056,18.288,8.6,,10210,11.5,318.3185306
1996,ADFG,23,8,10,64.15233333,-164.1311667,2.5928,35,0.031611418,0.009216424,16.4592,9.3,,10210,4.9,155.0072845
1996,ADFG,24,8,10,63.98016667,-164.151,2.4076,27,0.029353459,0.008558108,14.6304,10.1,,10210,32,1090.161121
