# NOAA_NBS_Haul_2021,,,,,,,,,,,,
#  ,,,,,,,,,,,,
# ,,,,,,,,,,,,
# ,,,,,,,,,,,,
# ,,,,,,,,,,,,
# ,,,,,,,,,,,,
NOAA_Station,Vessel,Haul,Haul_rate,Month,Day,Year,Latitude,Longitude,Swept_NM2,Depth_m,Bottom_Temp,Surface_Temp
U-24,94,1,,7,22,2021,61.67323,-173.07778,0.015723368,66,1.1,8.5
T-24,94,2,,7,22,2021,61.35936,-172.91428,0.01467234,68,1.6,8.8
T-23,94,3,,7,23,2021,61.34073,-172.2068,0.015503371,63,0.8,8.8
T-22,94,4,,7,23,2021,61.33845,-171.53157,0.014771279,56,1.5,9.2
U-22,94,5,,7,23,2021,61.66059,-171.53327,0.01427754,54,0.6,8.9
U-23,94,6,,7,23,2021,61.66467,-172.29238,0.014593486,61,0.5,9.3
V-24,94,7,,7,24,2021,61.99738,-173.11302,0.01460993,60,-0.8,8.2
V-23,94,8,,7,24,2021,62.00663,-172.40348,0.01559047,55,-1.2,8.4
W-23,94,9,,7,24,2021,62.32609,-172.3844,0.013115304,53,-1.2,8.5
W-22,94,10,,7,24,2021,62.3327,-171.79744,0.013432049,47,-1.1,8.1
V-22,94,11,,7,24,2021,62.02658,-171.66618,0.013475091,51,-1,8.6
V-21,94,12,,7,25,2021,61.98069,-171.07103,0.014918979,51,-0.6,8.7
V-20,94,13,,7,25,2021,62.00565,-170.26964,0.013920194,47,-1,8.4
W-20,94,14,,7,25,2021,62.30546,-170.27634,0.012599319,42,-0.3,8.7
W-21,94,15,,7,25,2021,62.33985,-170.98972,0.013082219,43,-0.9,8.5
X-21,94,16,,7,26,2021,62.64141,-170.95824,0.013095421,45,-1.2,8.3
Y-21,94,17,,7,26,2021,63.00319,-171.11632,0.012836942,47,-1.5,7.5
ZZ-21,94,18,,7,26,2021,63.20071,-171.16688,0.006357576,40,-1.4,7.7
Y-20,94,19,,7,26,2021,62.94474,-170.48452,0.012696648,42,-1.4,7.7
X-20,94,20,,7,26,2021,62.67471,-170.36443,0.012985373,43,-0.9,8.3
X-19,94,21,,7,27,2021,62.66026,-169.62538,0.012365495,40,-0.7,7.6
X-18,94,22,,7,27,2021,62.65724,-168.89641,0.013355329,35,0.2,7.3
Y-18,94,23,,7,27,2021,62.86545,-168.82581,0.013032587,40,-0.2,1.7
Y-01,94,24,,7,27,2021,62.99652,-168.20091,0.012722531,40,0.8,4.1
AA-18,94,25,,7,28,2021,63.68096,-168.96346,0.012860013,36,1.5,6.8
AA-19,94,26,,7,28,2021,63.68538,-169.66229,0.01203066,40,6.7,6.8
BB-19,94,27,,7,28,2021,63.98062,-169.77538,0.011887456,35,2.7,7.5
BB-18,94,28,,7,29,2021,63.99764,-169.0628,0.011865925,34,6.4,6.9
BB-01,94,29,,7,29,2021,64.0101,-168.3144,0.012448022,37,0.7,6.6
AA-01,94,30,,7,29,2021,63.68902,-168.26882,0.012862178,33,0.9,6.2
ZZ-01,94,31,,7,29,2021,63.37205,-168.28373,0.01298034,29,0.4,3.6
ZZ-02,94,32,,7,30,2021,63.3267,-167.56449,0.012759617,35,2.1,5.1
AA-02,94,33,,7,30,2021,63.66072,-167.52899,0.012818348,29,3.3,3.8
BB-02,94,34,,7,30,2021,64.029,-167.56952,0.01273009,35,3.5,4.7
CC-04,94,35,,8,2,2021,64.33223,-166.02068,0.014098456,23,9.3,9.3
BB-04,94,36,,8,2,2021,64.0026,-166.05485,0.012573413,23,8.3,9.6
R-02,94,37,,8,12,2021,60.65398,-167.34596,0.013342945,26,9.7,9.8
R-03,94,39,,8,12,2021,60.66997,-166.71915,0.012593089,22,10.8,11
V-03,94,46,,8,14,2021,61.99935,-166.72792,0.012340253,23,10.2,11
V-02,94,47,,8,14,2021,61.99786,-167.39539,0.012986319,26,8.9,8.9
U-02,94,48,,8,14,2021,61.69062,-167.37308,0.01339595,25,9.7,9.7
U-03,94,49,,8,14,2021,61.65732,-166.76392,0.011814252,23,10.2,10.7
T-03,94,50,,8,14,2021,61.36627,-166.77383,0.012307936,17,11,11
S-03,94,51,,8,15,2021,60.97929,-166.74153,0.012308236,21,10.5,10.8
S-02,94,52,,8,15,2021,60.98758,-167.31958,0.01279681,23,10.1,10.1
T-02,94,53,,8,15,2021,61.30953,-167.35844,0.0120369,24,10,10
