Year,Haul,Spcode,subsample_w_kg,subsample_n,wholesample_w_kg,wholesample_n
1999,10,24191,0.3,2,,
1999,10,41201,0.02,4,,
1999,10,66045,0.01,1,,
1999,10,66050,0.01,1,,
1999,10,66203,0.01,1,,
1999,10,66530,0.01,2,,
1999,10,66548,0.01,3,,
1999,10,66601,0.02,1,,
1999,10,66611,0.2,26,,
1999,10,68781,1.52,5,,
1999,10,69086,0.03,1,,
1999,10,69316,0.01,4,,
1999,10,69322,,1,,
1999,10,71001,0.03,1,,
1999,10,71882,0.04,1,,
1999,10,71884,0.74,3,,
1999,10,80010,6.5,4,,
1999,10,80020,3.3,7,,
1999,10,81742,20.5,225,,
1999,10,82510,0.28,5,,
1999,10,83020,0.3,5,,
1999,10,95000,0.36,1,,
1999,10,98000,0.44,1,,
1999,10,99994,0.54,5,,
1999,10,99999,0.01,,,
1999,11,10210,1.1,17,,
1999,11,10220,0.14,1,,
1999,11,10285,1.2,8,,
1999,11,21314,0.12,11,,
1999,11,21315,0.02,1,,
1999,11,21378,0.1,1,,
1999,11,21384,0.22,5,,
1999,11,21725,0.12,3,,
1999,11,21735,0.12,2,,
1999,11,23055,0.06,1,,
1999,11,23808,0.04,3,,
1999,11,24189,0.38,1,,
1999,11,40500,0.01,1,,
1999,11,41201,0.08,8,,
1999,11,43000,0.24,2,,
1999,11,56312,0.01,1,,
1999,11,66045,0.44,131,,
1999,11,66530,0.01,3,,
1999,11,66548,0.08,3,,
1999,11,66601,0.02,1,,
1999,11,66611,0.52,40,,
1999,11,68781,1.52,6,,
1999,11,69010,0.3,3,,
1999,11,69061,0.02,2,,
1999,11,69090,0.34,1,,
1999,11,69322,3.4,3,,
1999,11,71001,0.01,1,,
1999,11,71882,0.16,1,,
1999,11,80010,1.9,2,,
1999,11,80020,5.8,15,,
1999,11,81742,10.5,127,,
1999,11,82510,0.2,3,,
1999,11,83020,0.05,1,,
1999,11,98000,1.28,4,,
1999,11,98025,0.02,1,,
1999,11,99994,1,5,,
1999,11,99999,2.5,,,
1999,12,10210,0.3,6,,
1999,12,10285,0.06,1,,
1999,12,20040,0.02,2,,
1999,12,21314,0.46,4,,
1999,12,21371,0.08,1,,
1999,12,21384,0.2,4,,
1999,12,23808,0.04,3,,
1999,12,24189,1.8,1,,
1999,12,40500,0.02,1,,
1999,12,41201,0.02,1,,
1999,12,43000,0.8,3,,
1999,12,60100,0.01,1,,
1999,12,65201,0.14,2,,
1999,12,66045,0.01,2,,
1999,12,66050,0.02,1,,
1999,12,66548,0.01,1,,
1999,12,66611,0.02,8,,
1999,12,68781,1.35,5,,
1999,12,75111,0.06,4,,
1999,12,80010,4.32,3,,
1999,12,80020,3.4,6,,
1999,12,81742,32.6,337,,
1999,12,82510,0.54,7,,
1999,12,83020,0.2,2,,
