# ADFG_Crab_2017.csv,,,,,,,,,,,,,
# 2017 Trawl Survey Crab data ,,,,,,,,,,,,,
#  Legal size based on CW,,,,,,,,,,,,,
"#  Female J: Juvenile (no eggs and belly flap not extended fully to coxa), M Mature (with eggs or belly flap extended fully to coxa)",,,,,,,,,,,,,
"# Male:  9: < 76 (pre3), 7: 76-89 (pre2), 5: 90-104 (pre1), 1: 105-115 (recruits), 3: > 115 (post recruits)",,,,,,,,,,,,,
"# 5 (1): Pre-1 by length but legal so count as recruit,  1 (5): Recruit by length but sublegal; count as pre-1, 1 (3): Recruit by length but postrecruit by age, count as postrecruit.",,,,,,,,,,,,,
Year,Haul,ADFG_Station,Sex,Size_mm,Legal,Shell,Other,Clutch,Egg Stage,Egg condition,Egg color,Durometer,JM
2017,1,184,1,116,2,4,,,,,,,3
2017,1,184,1,73,1,2,,,,,,,9
2017,1,184,1,65,1,2,,,,,,,9
2017,1,184,1,58,1,2,,,,,,,9
2017,1,184,1,63,1,2,,,,,,,9
2017,1,184,1,64,1,1,,,,,,,9
2017,1,184,1,61,1,1,,,,,,,9
2017,1,184,1,79,1,2,,,,,,,7
2017,2,185,1,72,1,2,,,,,,,9
2017,2,185,1,47,1,2,,,,,,,9
2017,2,185,2,77,,2,,5,1,1,5,,M
2017,2,185,1,132,2,3,,,,,,,3
2017,2,185,1,110,2,2,,,,,,,1
2017,2,185,1,124,2,2,,,,,,,3
2017,2,185,1,123,2,3,,,,,,,3
2017,2,185,1,77,1,2,,,,,,,7
2017,2,185,1,97,1,2,,,,,,,5
2017,2,185,2,72,,2,,6,1,1,5,,M
2017,2,185,1,48,1,2,,,,,,,9
2017,2,185,2,69,,2,,5,1,1,3,,M
2017,2,185,1,76,1,1,,,,,,,7
2017,2,185,1,86,1,2,,,,,,,7
2017,2,185,2,68,,2,,1,,,,,M
2017,2,185,2,74,,2,,3,1,1,2,,M
2017,2,185,1,65,1,2,,,,,,,9
2017,2,185,1,33,1,2,,,,,,,9
2017,3,186,1,79,1,2,,,,,,,7
2017,3,186,1,114,2,2,,,,,,,1
2017,4,187,1,126,2,2,,,,,,,3
2017,4,187,1,92,1,2,,,,,,,5
2017,4,187,1,118,2,2,,,,,,,3
2017,4,187,2,22,,2,,,,,,,J
2017,4,187,1,105,2,2,,,,,,,1
2017,4,187,1,64,1,2,,,,,,,9
2017,4,187,1,122,2,4,,,,,,,3
2017,4,187,1,97,1,2,,,,,,,5
2017,4,187,1,62,1,4,,,,,,,9
2017,4,187,1,115,2,2,,,,,,,1
2017,5,161,1,112,2,4,,,,,,,1 (3)
2017,5,161,1,64,1,2,,,,,,,9
2017,9,82,1,122,2,3,,,,,,,3
2017,10,81,1,126,2,3,,,,,,,3
2017,11,80,1,100,1,2,,,,,,,5
2017,11,80,1,107,2,3,,,,,,,1 (3)
2017,11,80,1,114,2,3,,,,,,,1 (3)
2017,11,80,1,78,1,2,,,,,,,7
2017,11,80,1,92,1,2,,,,,,,5
2017,11,80,1,99,1,3,,,,,,,5
2017,11,80,1,96,1,2,,,,,,,5
2017,11,80,1,122,2,4,,,,,,,3
2017,11,80,1,92,1,1,,,,,,,5
2017,11,80,1,110,2,2,,,,,,,1
2017,11,80,1,70,1,2,,,,,,,9
2017,11,80,1,61,1,2,,,,,,,9
2017,14,103,2,95,,2,,5,1,1,2,,M
2017,14,103,1,112,2,4,,,,,,,1 (3)
2017,15,104,1,65,1,2,,,,,,,9
2017,16,105,1,123,2,4,,,,,,,3
2017,16,105,1,114,2,4,,,,,,,1 (3)
2017,16,105,2,91,,2,,6,1,1,2,,M
2017,16,105,1,80,1,3,,,,,,,7
2017,16,105,2,60,,2,,,,,,,J
2017,16,105,2,102,,2,,5,1,1,2,,M
2017,16,105,1,69,1,2,,,,,,,9
2017,16,105,1,71,1,3,,,,,,,9
2017,16,105,1,78,1,2,,,,,,,7
2017,17,106,1,102,1,3,,,,,,,5
2017,17,106,1,122,2,4,,,,,,,3
2017,17,106,1,109,2,4,,,,,,,1 (3)
2017,18,133,1,111,2,4,,,,,,,1 (3)
2017,18,133,1,122,2,4,,,,,,,3
2017,18,133,1,112,2,4,,,,,,,1 (3)
2017,18,133,1,115,2,2,,,,,,,1
2017,18,133,1,54,1,3,,,,,,,9
2017,18,133,1,126,2,3,,,,,,,3
2017,18,133,1,67,1,2,,,,,,,9
2017,18,133,1,62,1,3,,,,,,,9
2017,18,133,1,112,2,2,,,,,,,1
2017,18,133,1,104,2,2,,,,,,,5 (1)
2017,18,133,1,104,2,2,,,,,,,5 (1)
2017,18,133,1,125,2,2,,,,,,,3
2017,18,133,1,90,1,2,,,,,,,5
2017,18,133,1,115,2,4,,,,,,,1 (3)
2017,18,133,1,120,2,4,,,,,,,3
2017,18,133,1,115,2,3,,,,,,,1 (3)
2017,18,133,1,124,2,4,,,,,,,3
2017,18,133,1,121,2,3,,,,,,,3
2017,18,133,1,112,2,2,,,,,,,1
2017,19,160,1,120,2,2,,,,,,,3
2017,19,160,1,123,2,3,,,,,,,3
2017,19,160,1,93,1,3,,,,,,,5
2017,19,160,1,115,2,3,,,,,,,1 (3)
2017,19,160,1,98,1,2,,,,,,,5
2017,19,160,1,111,2,4,,,,,,,1 (3)
2017,19,160,1,118,2,2,,,,,,,3
2017,19,160,1,82,1,2,,,,,,,7
2017,19,160,1,117,2,2,,,,,,,3
2017,19,160,1,59,1,3,,,,,,,9
2017,19,160,1,108,2,2,,,,,,,1
2017,20,159,1,80,1,3,,,,,,,7
2017,21,132,2,109,,2,,6,1,1,2,,M
2017,21,132,2,72,,2,,4,1,1,2,,M
2017,21,132,2,97,,2,,3,1,1,2,,M
2017,21,132,1,78,1,1,,,,,,,7
2017,21,132,1,74,1,2,,,,,,,9
