Year,Haul,ADFG_Station,Sex,Size_mm,Legal,Shell,Other,Clutch,Egg Stage,Egg condition,Egg color,Durometer,JM
2019,1,185,2,77,,,,5,1,1,2,,M
2019,1,185,1,59,1,2,,,,,,,
2019,1,185,1,76,1,2,,,,,,,
2019,1,185,2,71,,,,3,1,1,2,,M
2019,1,185,1,57,1,2,,,,,,,
2019,1,185,1,123,2,3,,,,,,,
2019,1,185,2,60,,,,,,,,,J
2019,2,186,1,78,1,2,,,,,,,
2019,2,186,1,86,1,2,,,,,,,
2019,2,186,2,78,,,,5,1,1,2,,M
2019,2,186,1,117,2,3,,,,,,,
2019,2,186,1,112,2,2,,,,,,,
2019,2,186,1,90,1,2,,,,,,,
2019,2,186,1,81,1,2,,,,,,,
2019,2,186,1,102,2,3,,,,,,,
2019,3,160,1,112,2,3,,,,,,,
2019,3,160,1,80,1,2,,,,,,,
2019,3,160,1,118,2,2,,,,,,,
2019,3,160,1,87,1,2,,,,,,,
2019,3,160,1,69,1,2,,,,,,,
2019,3,160,1,79,1,2,,,,,,,
2019,3,160,1,58,1,2,,,,,,,
2019,3,160,2,70,,,,1,,,,,M
2019,3,160,1,64,1,2,,,,,,,
2019,4,133,1,87,1,1,,,,,,,
2019,4,133,1,67,1,2,,,,,,,
2019,4,133,1,59,1,2,,,,,,,
2019,4,133,1,69,1,2,,,,,,,
2019,4,133,1,63,1,2,,,,,,,
2019,4,133,1,67,1,2,,,,,,,
2019,4,133,1,112,2,4,,,,,,,
2019,4,133,1,72,1,2,,,,,,,
2019,4,133,1,56,1,2,,,,,,,
2019,4,133,1,72,1,2,,,,,,,
2019,4,133,2,61,,,,,,,,,J
2019,4,133,1,65,1,2,,,,,,,
2019,4,133,1,142,2,3,,,,,,,
2019,4,133,1,65,1,2,,,,,,,
2019,4,133,1,65,1,2,,,,,,,
2019,4,133,1,61,1,2,,,,,,,
2019,4,133,1,61,1,2,,,,,,,
2019,4,133,1,71,1,2,,,,,,,
2019,4,133,1,61,1,2,,,,,,,
2019,4,133,1,64,1,2,,,,,,,
2019,4,133,1,63,1,2,,,,,,,
2019,4,133,1,64,1,2,,,,,,,
2019,4,133,1,67,1,2,,,,,,,
2019,4,133,1,64,1,2,,,,,,,
2019,4,133,1,66,1,2,,,,,,,
2019,4,133,1,67,1,2,,,,,,,
2019,4,133,1,56,1,2,,,,,,,
2019,4,133,1,43,1,2,,,,,,,
2019,5,132,1,72,1,2,,,,,,,
2019,5,132,1,75,1,2,,,,,,,
2019,5,132,1,71,1,2,,,,,,,
2019,5,132,1,64,1,2,,,,,,,
2019,5,132,1,59,1,2,,,,,,,
2019,5,132,1,83,1,2,,,,,,,
2019,5,132,1,78,1,1,,,,,,,
2019,5,132,1,60,1,1,,,,,,,
2019,5,132,1,59,1,2,,,,,,,
2019,5,132,1,67,1,2,,,,,,,
2019,5,132,1,70,1,2,,,,,,,
2019,5,132,1,72,1,2,,,,,,,
2019,5,132,2,64,,,,,,,,,J
2019,5,132,1,63,1,2,,,,,,,
2019,5,132,2,72,,,,1,,,,,M
2019,5,132,2,66,,,,1,,,,,M
2019,5,132,2,72,,,,,,,,,J
2019,5,132,1,62,1,2,,,,,,,
2019,5,132,2,66,,,,,,,,,J
2019,5,132,1,76,1,2,,,,,,,
2019,5,132,1,67,1,2,,,,,,,
2019,5,132,1,67,1,2,,,,,,,
2019,5,132,1,67,1,2,,,,,,,
2019,5,132,1,72,1,2,,,,,,,
2019,5,132,2,72,,,,1,,,,,M
2019,5,132,1,65,1,2,,,,,,,
2019,5,132,2,68,,,,,,,,,J
2019,5,132,1,62,1,2,,,,,,,
2019,5,132,1,62,1,2,,,,,,,
2019,5,132,1,69,1,2,,,,,,,
2019,5,132,1,63,1,2,,,,,,,
2019,5,132,1,67,1,2,,,,,,,
2019,5,132,1,66,1,2,,,,,,,
2019,5,132,2,61,,,,,,,,,J
2019,5,132,1,70,1,2,,,,,,,
2019,5,132,2,69,,,,,,,,,J
2019,5,132,1,72,1,2,,,,,,,
2019,5,132,1,75,1,2,,,,,,,
2019,5,132,1,81,1,2,,,,,,,
2019,5,132,1,67,1,1,,,,,,,
2019,5,132,1,78,1,2,,,,,,,
2019,5,132,1,76,1,2,,,,,,,
2019,5,132,1,58,1,2,,,,,,,
2019,5,132,1,68,1,2,,,,,,,
2019,5,132,2,54,,,,,,,,,J
2019,5,132,2,52,,,,,,,,,J
2019,5,132,1,65,1,2,,,,,,,
2019,5,132,1,65,1,2,,,,,,,
2019,5,132,1,64,1,2,,,,,,,
2019,5,132,1,72,1,1,,,,,,,
2019,5,132,1,63,1,2,,,,,,,
2019,5,132,2,74,,,,1,,,,,M
2019,5,132,1,64,1,2,,,,,,,
2019,5,132,1,79,1,2,,,,,,,
2019,5,132,1,67,1,2,,,,,,,
2019,5,132,2,66,,,,,,,,,J
2019,5,132,2,66,,,,,,,,,J
2019,5,132,1,52,1,2,,,,,,,
2019,5,132,1,69,1,2,,,,,,,
2019,5,132,1,63,1,2,,,,,,,
2019,5,132,2,61,,,,,,,,,J
2019,5,132,2,72,,,,1,,,,,M
2019,5,132,2,65,,,,,,,,,J
2019,5,132,1,116,2,4,,,,,,,
2019,5,132,1,128,2,4,,,,,,,
2019,5,132,1,124,2,3,,,,,,,
2019,5,132,1,125,2,3,,,,,,,
2019,5,132,1,122,2,4,,,,,,,
2019,6,159,2,76,,,,4,1,1,4,,M
2019,6,159,2,62,,,,,,,,,J
2019,6,159,2,62,,,,,,,,,J
2019,6,159,1,109,2,3,,,,,,,
2019,7,187,1,71,1,2,,,,,,,
2019,7,187,1,84,1,2,,,,,,,
2019,7,187,1,80,1,2,,,,,,,
2019,7,187,1,82,1,2,,,,,,,
2019,7,187,1,73,1,2,,,,,,,
2019,7,187,1,92,1,2,,,,,,,
2019,7,187,1,89,1,2,,,,,,,
2019,10,131,2,64,,,,,,,,,J
2019,10,131,2,62,,,,,,,,,J
2019,10,131,1,55,1,2,,,,,,,
2019,10,131,1,68,1,2,,,,,,,
2019,10,131,2,66,,,,,,,,,J
2019,11,158,1,82,1,2,,,,,,,
2019,11,158,1,77,1,2,,,,,,,
2019,11,158,1,,1,0,,,,,,,
2019,12,184,1,122,2,3,,,,,,,
2019,12,184,1,91,1,3,,,,,,,
2019,12,184,2,101,,,,5,1,1,2,,M
2019,12,184,1,124,2,3,,,,,,,
2019,12,184,1,125,2,3,,,,,,,
2019,12,184,1,124,2,3,,,,,,,
2019,12,184,2,58,,,,,,,,,J
2019,12,184,1,102,1,3,,,,,,,
2019,12,184,1,84,1,3,,,,,,,
2019,12,184,1,84,1,3,,,,,,,
2019,12,184,1,100,1,3,,,,,,,
2019,12,184,1,87,1,2,,,,,,,
2019,13,183,1,100,2,3,,,,,,,
2019,13,183,1,123,2,4,,,,,,,
2019,13,183,1,120,2,4,,,,,,,
2019,13,183,2,36,,,,,,,,,J
2019,13,183,1,134,2,4,,,,,,,
2019,13,183,1,95,1,3,,,,,,,
2019,13,183,1,132,2,3,,,,,,,
2019,16,203,1,126,2,3,,,,,,,
2019,24,150,1,76,1,1,,,,,,,
2019,24,150,1,49,1,1,,,,,,,
2019,24,150,1,61,1,2,,,,,,,
2019,24,150,2,,,,,,,,,,J
2019,25,124,2,92,,,,4,1,1,2,,M
2019,27,151,1,64,1,1,,,,,,,
2019,29,125,1,51,1,2,,,,,,,
2019,30,126,2,52,,,,,,,,,J
2019,30,126,1,53,1,2,,,,,,,
2019,31,127,2,87,,,,6,1,1,2,,M
2019,31,127,2,46,,,,,,,,,J
2019,31,127,2,68,,,,,,,,,J
2019,31,127,1,45,1,2,,,,,,,
2019,31,127,1,50,1,2,,,,,,,
2019,31,127,1,62,1,2,,,,,,,
2019,34,128,2,62,,,,1,,,,,M
2019,34,128,2,63,,,,,,,,,J
2019,34,128,2,71,,,,1,,,,,M
2019,34,128,2,63,,,,,,,,,J
2019,34,128,1,132,2,4,,,,,,,
2019,36,102,2,67,,,,,,,,,J
2019,39,79,2,59,,,,,,,,,J
2019,40,80,2,68,,,,1,,,,,J
2019,40,80,2,68,,,,5,1,1,2,,M
2019,40,80,2,85,,,,5,1,1,2,,M
2019,40,80,2,70,,,,1,,,,,J
2019,40,80,1,66,1,2,,,,,,,
2019,40,80,2,81,,,,5,1,1,2,,M
2019,40,80,1,71,1,2,,,,,,,
2019,40,80,1,65,1,2,,,,,,,
2019,40,80,1,64,1,2,,,,,,,
2019,40,80,2,71,,,,1,,,,,J
2019,40,80,2,59,,,,,,,,,J
2019,40,80,1,65,1,2,,,,,,,
2019,40,80,2,71,,,,1,,,,,J
2019,40,80,1,63,1,2,,,,,,,
2019,40,80,1,68,1,2,,,,,,,
2019,41,81,2,67,,,,,,,,,J
2019,41,81,1,72,1,2,,,,,,,
2019,41,81,1,105,2,3,,,,,,,
2019,41,81,1,98,1,3,,,,,,,
2019,41,81,1,88,1,3,,,,,,,
2019,41,81,2,64,,,,,,,,,J
2019,41,81,1,66,1,2,,,,,,,
2019,44,106,1,124,2,2,,,,,,,
2019,44,106,1,68,1,2,,,,,,,
2019,44,106,1,81,1,2,,,,,,,
2019,44,106,1,56,1,2,,,,,,,
2019,44,106,1,77,1,3,,,,,,,
2019,44,106,1,74,1,2,,,,,,,
2019,44,106,1,73,1,3,,,,,,,
2019,44,106,1,70,1,2,,,,,,,
2019,45,105,2,66,,,,,,,,,J
2019,45,105,2,69,,,,,,,,,J
2019,45,105,2,74,,,,1,,,,,M
2019,45,105,2,64,,,,,,,,,J
2019,45,105,2,70,,,,,,,,,J
2019,45,105,1,67,1,2,,,,,,,
2019,45,105,2,78,,,,1,,,,,M
2019,45,105,2,63,,,,,,,,,J
2019,45,105,2,71,,,,1,,,,,M
2019,45,105,1,72,1,2,,,,,,,
2019,45,105,1,74,1,2,,,,,,,
2019,45,105,2,71,,,,1,,,,,M
2019,45,105,1,69,1,2,,,,,,,
2019,45,105,1,70,1,2,,,,,,,
2019,45,105,1,67,1,2,,,,,,,
2019,45,105,2,71,,,,,,,,,J
2019,45,105,1,71,1,1,,,,,,,
2019,45,105,2,72,,,,1,,,,,M
2019,45,105,1,72,1,2,,,,,,,
2019,45,105,2,68,,,,1,,,,,M
2019,45,105,2,68,,,,1,,,,,M
2019,45,105,2,66,,,,1,,,,,M
2019,45,105,2,68,,,,,,,,,J
2019,45,105,1,73,1,2,,,,,,,
2019,45,105,1,71,1,2,,,,,,,
2019,45,105,2,77,,,,1,,,,,M
2019,45,105,1,79,1,2,,,,,,,
2019,45,105,2,54,,,,,,,,,J
2019,45,105,1,68,1,2,,,,,,,
2019,45,105,1,67,1,2,,,,,,,
2019,45,105,2,68,,,,3,1,1,2,,M
2019,45,105,1,70,1,2,,,,,,,
2019,45,105,2,72,,,,1,,,,,M
2019,45,105,2,65,,,,1,,,,,M
2019,45,105,1,68,1,2,,,,,,,
2019,45,105,2,68,,,,,,,,,J
2019,45,105,2,69,,,,1,,,,,M
2019,45,105,2,74,,,,1,,,,,M
2019,45,105,2,66,,,,,,,,,J
2019,45,105,2,87,,,,1,,,,,M
2019,45,105,2,67,,,,,,,,,J
2019,45,105,2,63,,,,,,,,,J
2019,45,105,1,63,1,2,,,,,,,
2019,45,105,2,68,,,,5,1,1,2,,M
2019,45,105,2,67,,,,,,,,,J
2019,45,105,1,71,1,2,,,,,,,
2019,45,105,1,73,1,2,,,,,,,
2019,45,105,1,73,1,2,,,,,,,
2019,45,105,2,69,,,,1,,,,,M
2019,45,105,1,76,1,2,,,,,,,
2019,45,105,2,68,,,,,,,,,J
2019,45,105,2,70,,,,1,,,,,M
2019,45,105,2,72,,,,1,,,,,M
2019,45,105,2,66,,,,,,,,,J
2019,45,105,1,70,1,2,,,,,,,
2019,45,105,2,62,,,,,,,,,J
2019,45,105,1,71,1,2,,,,,,,
2019,45,105,2,65,,,,,,,,,J
2019,45,105,2,63,,,,,,,,,J
2019,45,105,2,76,,,,1,,,,,M
2019,45,105,1,71,1,2,,,,,,,
2019,45,105,2,77,,,,1,,,,,M
2019,45,105,2,67,,,,1,,,,,M
2019,45,105,1,83,1,2,,,,,,,
2019,45,105,2,69,,,,1,,,,,M
2019,45,105,2,84,,,,4,1,1,2,,M
2019,45,105,1,79,1,2,,,,,,,
2019,45,105,2,62,,,,,,,,,J
2019,45,105,2,81,,,,4,1,1,2,,M
2019,45,105,1,73,1,2,,,,,,,
2019,45,105,2,81,,,,4,1,1,2,,M
2019,45,105,2,62,,,,1,,,,,M
2019,45,105,2,69,,,,,,,,,J
2019,45,105,2,63,,,,,,,,,J
2019,45,105,1,80,1,2,,,,,,,
2019,45,105,1,69,1,2,,,,,,,
2019,45,105,2,72,,,,1,,,,,M
2019,45,105,1,70,1,2,,,,,,,
2019,45,105,2,76,,,,1,,,,,M
2019,45,105,2,73,,,,1,,,,,M
2019,45,105,2,74,,,,,,,,,J
2019,45,105,2,70,,,,,,,,,J
2019,45,105,2,66,,,,,,,,,J
2019,45,105,2,65,,,,,,,,,J
2019,45,105,2,67,,,,,,,,,J
2019,45,105,2,65,,,,,,,,,J
2019,45,105,2,63,,,,,,,,,J
2019,45,105,1,73,1,2,,,,,,,
2019,45,105,1,66,1,2,,,,,,,
2019,45,105,2,67,,,,,,,,,J
2019,45,105,2,64,,,,,,,,,J
2019,45,105,1,71,1,2,,,,,,,
2019,45,105,1,71,1,2,,,,,,,
2019,45,105,1,76,1,2,,,,,,,
2019,45,105,1,76,1,2,,,,,,,
2019,45,105,2,66,,,,4,1,1,5,,M
2019,45,105,1,63,1,1,,,,,,,
2019,45,105,1,75,1,2,,,,,,,
2019,45,105,2,74,,,,1,,,,,M
2019,45,105,2,79,,,,3,1,1,2,,M
2019,45,105,2,68,,,,,,,,,J
2019,45,105,2,68,,,,,,,,,J
2019,45,105,2,70,,,,,,,,,J
2019,45,105,2,81,,,,3,1,1,2,,M
2019,45,105,1,71,1,1,,,,,,,
2019,45,105,2,74,,,,4,1,1,2,,M
2019,45,105,2,62,,,,,,,,,J
2019,45,105,1,78,1,2,,,,,,,
2019,45,105,1,81,1,2,,,,,,,
2019,45,105,2,71,,,,,,,,,J
2019,45,105,2,67,,,,,,,,,J
2019,45,105,2,66,,,,,,,,,J
2019,45,105,2,59,,,,,,,,,J
2019,45,105,2,71,,,,,,,,,J
