# NMFS_1976_1991_Catch.csv,,,,
# Derived from NOAA Kodiak ,,,,
"# Expaned whole weight and count by year, Haul, and Species code ",,,,
#,,,,
#,,,,
#,,,,
Year,Haul,Spcode,Total_n,Weight_kg
1976,11,98000,2,5
1976,11,99990,,53.252
1976,13,10220,11,11.113
1976,13,10285,3,0.907
1976,13,20040,14,0.227
1976,13,21110,46,3.629
1976,13,21315,1,0.045
1976,13,21355,1,0.045
1976,13,21368,1,0.454
1976,13,21371,6,4.536
1976,13,21388,3,0.136
1976,13,21725,60,0.907
1976,13,21735,542,46.266
1976,13,21740,6,0.091
1976,13,23055,15,0.68
1976,13,23807,6,0.091
1976,13,40500,3,2.3
1976,13,66045,62,0.091
1976,13,66050,13,0.091
1976,13,66611,80,0.363
1976,13,68577,5,0.1
1976,13,68580,16,0.227
1976,13,69061,27,0.338
1976,13,69120,9,0.531
1976,13,69322,1,0.68
1976,13,71772,2,0.136
1976,13,74562,2,0.045
1976,13,74983,1,0.045
1976,13,75285,1,0.091
1976,13,75332,1,0.045
1976,13,80020,300,136.2
1976,13,80200,319,85.6
1976,13,80595,52,0.2
1976,13,81742,366,165.9
1976,13,82510,1,0.01
1976,13,83020,20,2.722
1976,13,99990,,3.221
1976,15,20040,6,0.227
1976,15,21315,3,0.136
1976,15,21355,2,0.181
1976,15,21368,69,2.722
1976,15,21388,1,0.136
1976,15,21725,7,0.454
1976,15,21735,15,1.814
1976,15,22200,3,0.136
1976,15,23041,1,0.045
1976,15,40500,2,2.3
1976,15,41201,1,0.01
1976,15,43000,30,2.3
1976,15,66045,7,0.045
1976,15,66050,6,0.045
1976,15,66601,15,0.181
1976,15,66611,80,0.318
1976,15,69061,1,0.098
1976,15,69086,35,4.251
1976,15,69323,1,0.454
1976,15,71753,34,4.037
1976,15,71756,22,1.179
1976,15,71772,3,0.181
1976,15,71882,49,3.856
1976,15,71884,19,2.223
1976,15,72305,6,0.045
1976,15,75285,2,0.045
1976,15,80000,,19.595
1976,15,80020,14,10.4
1976,15,80200,54,16.3
1976,15,80540,7,0.03
1976,15,80590,5,0.5
1976,15,80595,20,0.2
1976,15,81095,7,0.2
1976,15,81355,6,0.3
1976,15,81742,36,7.9
1976,15,82510,9,0.4
1976,15,83020,12,2.948
1976,15,98082,1,0.02
1976,15,98105,3,0.05
1976,15,99990,,1.406
1976,16,10285,1,0.091
1976,16,20040,11,0.68
1976,16,21315,17,0.953
1976,16,21335,2,0.045
1976,16,21368,109,2.948
1976,16,21388,5,0.454
1976,16,21725,10,0.68
1976,16,21735,4,0.907
1976,16,22200,1,0.045
1976,16,23041,12,0.136
1976,16,66601,8,0.136
1976,16,66611,253,1.497
1976,16,68577,421,13.4
1976,16,68580,149,2.903
1976,16,69061,16,0.131
1976,16,69086,95,9.783
1976,16,69120,5,0.193
1976,16,69323,8,3.402
1976,16,71726,2,0.045
1976,16,71753,8,0.726
1976,16,71772,6,0.408
1976,16,71882,8,0.726
1976,16,71884,3,0.408
1976,16,71891,1,0.045
1976,16,72305,1,0.045
1976,16,75111,2,0.272
1976,16,80020,6,4.7
1976,16,80200,21,6.3
1976,16,80540,12,0.1
1976,16,80590,1150,101.2
1976,16,80595,41,0.5
1976,16,81095,4,0.2
1976,16,81742,114,25.2
1976,16,82510,7,0.5
1976,16,83020,881,209.56
1976,16,98000,1,2.4
1976,16,98082,1,0.1
1976,16,98105,2,0.1
1976,16,99990,,17.735
1976,17,10210,1,0.091
1976,17,20040,5,0.136
1976,17,21110,1,0.227
1976,17,21315,33,1.814
1976,17,21335,1,0.045
1976,17,21368,1,0.68
1976,17,21371,56,3.175
1976,17,21388,8,0.68
1976,17,21725,7,0.68
1976,17,21740,3,0.091
1976,17,22200,20,0.68
1976,17,23041,1,0.045
1976,17,23804,1,0.045
1976,17,66500,,3.856
1976,17,68580,112,3.13
1976,17,69323,58,32.205
1976,17,71753,47,5.942
1976,17,71772,24,1.769
1976,17,80000,620,111.13
1976,17,83020,206,50.802
1976,17,99990,,87.362
1976,18,10140,2,0.454
1976,18,21315,34,1.134
1976,18,21368,3,1.905
1976,18,21388,2,0.454
1976,18,21725,3,0.318
1976,18,22178,1,0.091
1976,18,22200,31,0.454
1976,18,24185,1,2.948
1976,18,66500,,1.814
1976,18,68580,52,1.814
1976,18,69323,4,1.814
1976,18,71726,16,0.091
1976,18,71753,26,1.996
1976,18,71756,5,0.272
1976,18,71772,21,0.907
1976,18,71882,21,1.633
1976,18,71884,26,1.769
1976,18,71891,5,0.091
1976,18,72305,10,0.091
1976,18,80000,281,50.349
1976,18,83020,85,20.865
1976,18,99990,,37.648
1976,19,10140,2,0.227
1976,19,21315,20,0.907
1976,19,21368,,17.237
1976,19,21725,7,0.68
1976,19,22200,15,0.227
1976,19,23807,2,0.045
1976,19,24189,4,0.68
1976,19,66500,,0.907
1976,19,68580,69,1.814
1976,19,71530,7,0.045
1976,19,71722,1,0.136
1976,19,71723,1,0.045
1976,19,71726,1,0.045
1976,19,71882,1,0.045
1976,19,71884,36,2.223
1976,19,72752,4,0.045
1976,19,72755,6,0.045
1976,19,80000,53,9.525
1976,19,83020,26,6.35
1976,19,99990,,5.897
1976,20,21315,18,0.68
1976,20,21368,31,22.906
1976,20,21725,14,0.454
1976,20,22178,1,0.045
1976,20,22200,17,0.227
1976,20,24189,1,0.091
1976,20,68580,35,1.905
1976,20,71530,3,0.045
1976,20,71722,3,0.045
1976,20,71884,12,0.907
1976,20,80000,41,7.257
1976,20,99990,,2.722
1976,21,10140,1,0.091
1976,21,10285,1,0.136
1976,21,20040,5,0.091
1976,21,21347,3,1.361
1976,21,21355,7,0.136
1976,21,21371,4,2.268
1976,21,21725,1,0.045
1976,21,21735,1,0.227
1976,21,22200,20,1.179
1976,21,23041,12,0.091
1976,21,24189,1,3.629
1976,21,68580,45,0.771
1976,21,69323,1,0.136
1976,21,71530,1,0.045
1976,21,71723,1,0.045
1976,21,71726,1,0.045
1976,21,71753,1,0.136
1976,21,71772,2,0.091
1976,21,71870,1,0.091
1976,21,71882,4,0.408
1976,21,71884,24,2.767
1976,21,80000,56,9.979
1976,21,99990,,14.152
1976,22,10210,1,0.045
1976,22,10220,1,0.454
1976,22,10285,3,0.227
1976,22,20040,3,0.045
1976,22,21110,1,0.091
1976,22,21315,23,0.499
1976,22,21347,1,0.045
1976,22,21355,1,0.045
1976,22,21368,8,0.907
1976,22,21388,2,0.227
1976,22,21725,6,0.454
