# 2006 Trawl survey length weight data ,,,,,,,,,,
#,,,,,,,,,,
#,,,,,,,,,,
#,,,,,,,,,,
#,,,,,,,,,,
#,,,,,,,,,,
Year,Haul,Station,Species,Species Code,Size(mm),weight (lb),weight (kg),PC_liver,PC_stomach,PC_sex
2006,78,,Yellowfin sole,10210,245,,,,,
2006,78,,Yellowfin sole,10210,347,,,,,
2006,78,,Yellowfin sole,10210,424,,,,,
2006,78,,Yellowfin sole,10210,415,,,,,
2006,78,,Yellowfin sole,10210,382,,,,,
2006,78,,Yellowfin sole,10210,331,,,,,
2006,78,,Yellowfin sole,10210,337,,,,,
2006,78,,Yellowfin sole,10210,402,,,,,
2006,78,,Yellowfin sole,10210,426,,,,,
2006,78,,Yellowfin sole,10210,422,,,,,
2006,78,,Yellowfin sole,10210,371,,,,,
2006,78,,Yellowfin sole,10210,250,,,,,
2006,78,,Yellowfin sole,10210,395,,,,,
2006,78,,Yellowfin sole,10210,269,,,,,
2006,78,,Yellowfin sole,10210,282,,,,,
2006,78,,Yellowfin sole,10210,433,,,,,
2006,78,,Yellowfin sole,10210,331,,,,,
2006,78,,Yellowfin sole,10210,317,,,,,
2006,78,,Yellowfin sole,10210,372,,,,,
2006,78,,Yellowfin sole,10210,300,,,,,
2006,78,,Yellowfin sole,10210,387,,,,,
2006,78,,Yellowfin sole,10210,313,,,,,
2006,78,,Yellowfin sole,10210,265,,,,,
2006,78,,Yellowfin sole,10210,240,,,,,
2006,78,,Yellowfin sole,10210,361,,,,,
2006,78,,Yellowfin sole,10210,292,,,,,
2006,78,,Yellowfin sole,10210,306,,,,,
2006,78,,Yellowfin sole,10210,395,,,,,
2006,78,,Yellowfin sole,10210,370,,,,,
2006,78,,Yellowfin sole,10210,462,,,,,
2006,78,,Yellowfin sole,10210,364,,,,,
2006,79,,Walleye pollock,21740,775,,,,,
2006,79,,Walleye pollock,21740,625,,,,,
2006,79,,Walleye pollock,21740,664,,,,,
2006,79,,Walleye pollock,21740,608,,,,,
2006,79,,Walleye pollock,21740,672,,,,,
2006,79,,Walleye pollock,21740,625,,,,,
2006,79,,Walleye pollock,21740,763,,,,,
2006,79,,Walleye pollock,21740,570,,,,,
2006,79,,Walleye pollock,21740,681,,,,,
2006,79,,Walleye pollock,21740,682,,,,,
2006,79,,Alaska plaice,10285,550,,,,,
2006,80,,Walleye pollock,21740,749,,,,,
2006,80,,Walleye pollock,21740,681,,,,,
2006,80,,Walleye pollock,21740,676,,,,,
2006,80,,Walleye pollock,21740,668,,,,,
2006,80,,Walleye pollock,21740,684,,,,,
2006,80,,Walleye pollock,21740,638,,,,,
2006,80,,Walleye pollock,21740,650,,,,,
2006,81,,Walleye pollock,21740,621,,,,,
2006,81,,Walleye pollock,21740,732,,,,,
2006,81,,Walleye pollock,21740,620,,,,,
2006,81,,Walleye pollock,21740,596,,,,,
2006,81,,Walleye pollock,21740,663,,,,,
2006,81,,Walleye pollock,21740,802,,,,,
2006,81,,Walleye pollock,21740,763,,,,,
2006,81,,Walleye pollock,21740,715,,,,,
2006,81,,Walleye pollock,21740,758,,,,,
2006,81,,Walleye pollock,21740,708,,,,,
2006,81,,Walleye pollock,21740,680,,,,,
2006,81,,Walleye pollock,21740,646,,,,,
2006,81,,Walleye pollock,21740,735,,,,,
2006,81,,Walleye pollock,21740,621,,,,,
2006,82,,Walleye pollock,21740,680,,,,,
2006,82,,Walleye pollock,21740,628,,,,,
2006,82,,Walleye pollock,21740,690,,,,,
2006,82,,Walleye pollock,21740,704,,,,,
2006,82,,Walleye pollock,21740,740,,,,,
2006,82,,Walleye pollock,21740,669,,,,,
2006,82,,Walleye pollock,21740,643,,,,,
2006,82,,Walleye pollock,21740,613,,,,,
2006,82,,Walleye pollock,21740,689,,,,,
2006,82,,Walleye pollock,21740,740,,,,,
2006,82,,Walleye pollock,21740,711,,,,,
2006,82,,Walleye pollock,21740,664,,,,,
2006,82,,Walleye pollock,21740,638,,,,,
2006,82,,Walleye pollock,21740,656,,,,,
2006,82,,Walleye pollock,21740,675,,,,,
2006,82,,Walleye pollock,21740,667,,,,,
2006,82,,Walleye pollock,21740,657,,,,,
2006,82,,Walleye pollock,21740,685,,,,,
2006,82,,Pacific cod,21720,670,,,,,
2006,82,,Pacific cod,21720,657,,,,,
2006,82,,Pacific cod,21720,660,,,,,
2006,82,,Pacific cod,21720,629,,,,,
2006,82,,Pacific cod,21720,767,,,,,
2006,82,,Pacific cod,21720,670,,,,,
2006,82,,Pacific cod,21720,623,,,,,
2006,83,,Pacific cod,21720,650,,,,,
2006,83,,Pacific cod,21720,580,,,,,
2006,83,,Walleye pollock,21740,710,,,,,
2006,83,,Walleye pollock,21740,685,,,,,
2006,83,,Walleye pollock,21740,670,,,,,
2006,83,,Walleye pollock,21740,714,,,,,
2006,84,,Walleye pollock,21740,634,,,,,
2006,84,,Walleye pollock,21740,696,,,,,
2006,84,,Walleye pollock,21740,604,,,,,
2006,84,,Walleye pollock,21740,717,,,,,
2006,84,,Walleye pollock,21740,579,,,,,
2006,84,,Walleye pollock,21740,635,,,,,
2006,84,,Walleye pollock,21740,668,,,,,
2006,84,,Walleye pollock,21740,652,,,,,
2006,84,,Walleye pollock,21740,700,,,,,
2006,84,,Walleye pollock,21740,645,,,,,
2006,84,,Walleye pollock,21740,622,,,,,
2006,84,,Walleye pollock,21740,674,,,,,
2006,84,,Walleye pollock,21740,620,,,,,
2006,84,,Walleye pollock,21740,673,,,,,
2006,84,,Walleye pollock,21740,672,,,,,
2006,84,,Walleye pollock,21740,711,,,,,
2006,84,,Alaska plaice,10285,502,,,,,
2006,84,,Alaska plaice,10285,472,,,,,
2006,84,,Alaska plaice,10285,465,,,,,
2006,84,,Alaska plaice,10285,536,,,,,
2006,85,,Pacific halibut,10120,726,,,,,
2006,85,,Pacific cod,21720,670,,,,,
2006,85,,Walleye pollock,21740,645,,,,,
2006,85,,Walleye pollock,21740,675,,,,,
2006,85,,Walleye pollock,21740,674,,,,,
2006,85,,Walleye pollock,21740,643,,,,,
2006,85,,Walleye pollock,21740,665,,,,,
2006,85,,Walleye pollock,21740,676,,,,,
2006,85,,Walleye pollock,21740,623,,,,,
2006,85,,Walleye pollock,21740,635,,,,,
2006,85,,Walleye pollock,21740,772,,,,,
2006,85,,Walleye pollock,21740,711,,,,,
2006,86,,Walleye pollock,21740,761,,,,,
2006,86,,Walleye pollock,21740,656,,,,,
2006,86,,Walleye pollock,21740,715,,,,,
2006,86,,Walleye pollock,21740,687,,,,,
2006,86,,Walleye pollock,21740,748,,,,,
2006,86,,Walleye pollock,21740,666,,,,,
2006,86,,Walleye pollock,21740,683,,,,,
2006,86,,Walleye pollock,21740,698,,,,,
2006,86,,Pacific cod,21720,465,,,,,
2006,86,,Pacific cod,21720,836,,,,,
2006,87,,Pacific cod,21720,692,,,,,
2006,87,,Pacific cod,21720,687,,,,,
2006,87,,Walleye pollock,21740,690,,,,,
2006,87,,Walleye pollock,21740,668,,,,,
2006,87,,Walleye pollock,21740,742,,,,,
2006,87,,Walleye pollock,21740,685,,,,,
2006,87,,Walleye pollock,21740,762,,,,,
2006,87,,Walleye pollock,21740,734,,,,,
2006,87,,Walleye pollock,21740,608,,,,,
