Haul,Station,Species,Species Code,Size(mm),weight (lb),weight (kg)
9,133,Walleye pollock,21740,548,,
9,133,Walleye pollock,21740,580,,
9,133,Walleye pollock,21740,593,,
9,133,Walleye pollock,21740,645,,
9,133,Walleye pollock,21740,585,,
9,133,Walleye pollock,21740,555,,
9,133,Walleye pollock,21740,547,,
9,133,Walleye pollock,21740,551,,
9,133,Walleye pollock,21740,584,,
9,133,Walleye pollock,21740,595,,
9,133,Walleye pollock,21740,532,,
9,133,Walleye pollock,21740,548,,
9,133,Walleye pollock,21740,635,,
9,133,Walleye pollock,21740,549,,
9,133,Walleye pollock,21740,690,,
9,133,Walleye pollock,21740,644,,
9,133,Walleye pollock,21740,511,,
9,133,Walleye pollock,21740,555,,
9,133,Walleye pollock,21740,542,,
9,133,Walleye pollock,21740,580,,
9,133,Walleye pollock,21740,512,,
9,133,Walleye pollock,21740,576,,
9,133,Walleye pollock,21740,574,,
9,133,Walleye pollock,21740,614,,
9,133,Pacific halibut,10120,600,,2.32
10,158,Walleye pollock,21710,606,,
10,158,Walleye pollock,21710,477,,
10,158,Walleye pollock,21710,653,,
11,157,Walleye pollock,21710,721,,2.93
11,157,Pacific halibut,10120,454,,0.83
14,155,Walleye pollock,21740,614,,2.04
15,128,Walleye pollock,21740,668,,1.61
16,129,Walleye pollock,21740,520,,
16,129,Walleye pollock,21740,673,,
16,129,Walleye pollock,21740,731,,
16,129,Walleye pollock,21740,752,,
16,129,Walleye pollock,21740,590,,
16,129,Walleye pollock,21740,673,,
17,156,Pacific cod,21720,803,,5.34
18,154,Walleye pollock,21740,709,,2.85
19,153,Pacific cod,21720,776,,4.05
32,132,Pacific cod,21720,595,,2.69
32,132,Pacific halibut,10120,64,,0.002
33,131,Pacific halibut,10120,490,,1.362
35,203,Walleye pollock,21740,684,,2.03
35,203,Walleye pollock,21740,718,,2.72
39,183,Walleye pollock,21740,706,,
39,183,Walleye pollock,21740,682,,
39,183,Walleye pollock,21740,665,,
39,183,Walleye pollock,21740,527,,
39,183,Walleye pollock,21740,648,,
