Haul,Station,Species,Species Code,Size(mm),weight (lb),weight (kg)
1,185,Walleye pollock,,640,,
1,185,Walleye pollock,,645,,
1,185,Walleye pollock,,584,,
1,185,Walleye pollock,,499,,
1,185,Walleye pollock,,600,,
1,185,Walleye pollock,,566,,
1,185,Walleye pollock,,534,,
1,185,Walleye pollock,,616,,
1,185,Walleye pollock,,575,,
1,185,Walleye pollock,,586,,
1,185,Walleye pollock,,584,,
1,185,Walleye pollock,,516,,
1,185,Walleye pollock,,580,,
1,185,Walleye pollock,,634,,
1,185,Walleye pollock,,534,,
1,185,Walleye pollock,,640,,
1,185,Walleye pollock,,528,,
1,185,Walleye pollock,,689,,
1,185,Walleye pollock,,640,,
1,185,Walleye pollock,,578,,
1,185,Walleye pollock,,580,,
1,185,Walleye pollock,,569,,
1,185,Walleye pollock,,607,,
1,185,Walleye pollock,,567,,
1,185,Walleye pollock,,496,,
1,185,Pacific cod,,781,,5.24
1,185,Pacific cod,,726,,4.02
1,185,Pacific cod,,735,,3.56
1,185,Pacific cod,,689,,3.65
2,186,Walleye pollock,,616,,
2,186,Walleye pollock,,639,,
2,186,Walleye pollock,,559,,
2,186,Walleye pollock,,638,,
2,186,Walleye pollock,,539,,
2,186,Walleye pollock,,535,,
2,186,Walleye pollock,,551,,
2,186,Walleye pollock,,572,,
2,186,Walleye pollock,,567,,
2,186,Walleye pollock,,537,,
2,186,Walleye pollock,,716,,
2,186,Walleye pollock,,628,,
2,186,Walleye pollock,,530,,
2,186,Walleye pollock,,534,,
2,186,Walleye pollock,,554,,
2,186,Walleye pollock,,576,,
2,186,Walleye pollock,,512,,
2,186,Walleye pollock,,575,,
2,186,Walleye pollock,,430,,
2,186,Walleye pollock,,578,,
2,186,Walleye pollock,,519,,
2,186,Walleye pollock,,480,,
2,186,Walleye pollock,,562,,
2,186,Walleye pollock,,485,,
2,186,Walleye pollock,,530,,
2,186,Pacific cod,,653,,2.74
2,186,Pacific cod,,621,,2.42
2,186,Pacific cod,,648,,3.26
3,160,Walleye pollock,,528,,
3,160,Walleye pollock,,623,,
3,160,Walleye pollock,,520,,
3,160,Walleye pollock,,536,,
3,160,Walleye pollock,,521,,
3,160,Walleye pollock,,555,,
3,160,Walleye pollock,,559,,
3,160,Walleye pollock,,542,,
3,160,Walleye pollock,,508,,
3,160,Walleye pollock,,518,,
3,160,Walleye pollock,,581,,
3,160,Walleye pollock,,564,,
3,160,Walleye pollock,,563,,
3,160,Walleye pollock,,568,,
3,160,Walleye pollock,,446,,
3,160,Walleye pollock,,669,,
3,160,Walleye pollock,,560,,
3,160,Walleye pollock,,575,,
3,160,Walleye pollock,,532,,
3,160,Walleye pollock,,432,,
3,160,Pacific cod,,798,,6.08
3,160,Pacific cod,,584,,2.37
3,160,Pacific cod,,687,,3.63
3,160,Pacific cod,,627,,2.6
4,133,Walleye pollock,,538,,
4,133,Walleye pollock,,528,,
4,133,Walleye pollock,,504,,
4,133,Walleye pollock,,479,,
4,133,Walleye pollock,,546,,
4,133,Walleye pollock,,584,,
4,133,Walleye pollock,,568,,
4,133,Walleye pollock,,516,,
4,133,Walleye pollock,,524,,
4,133,Walleye pollock,,686,,
4,133,Walleye pollock,,519,,
4,133,Walleye pollock,,590,,
4,133,Walleye pollock,,508,,
4,133,Walleye pollock,,510,,
5,132,Walleye pollock,,605,,
5,132,Walleye pollock,,598,,
5,132,Walleye pollock,,658,,
5,132,Walleye pollock,,712,,
5,132,Walleye pollock,,551,,
5,132,Walleye pollock,,602,,
5,132,Walleye pollock,,646,,
5,132,Walleye pollock,,536,,
5,132,Walleye pollock,,527,,
5,132,Walleye pollock,,486,,
5,132,Walleye pollock,,585,,
5,132,Walleye pollock,,557,,
5,132,Pacific halibut,,721,,4.63
5,132,Pacific cod,,710,,4.07
5,132,Pacific cod,,667,,3.28
5,132,Pacific cod,,673,,2.95
6,159,Walleye pollock,,556,,
6,159,Walleye pollock,,562,,
6,159,Walleye pollock,,554,,
6,159,Walleye pollock,,563,,
6,159,Walleye pollock,,559,,
6,159,Walleye pollock,,563,,
6,159,Walleye pollock,,557,,
6,159,Walleye pollock,,554,,
6,159,Walleye pollock,,551,,
6,159,Pacific halibut,,742,,4.9
6,159,Pacific cod,,712,,4.09
6,159,Pacific cod,,720,,4.45
7,187,Walleye pollock,,490,,
7,187,Walleye pollock,,671,,
7,187,Walleye pollock,,610,,
7,187,Walleye pollock,,576,,
7,187,Walleye pollock,,583,,
7,187,Walleye pollock,,588,,
7,187,Walleye pollock,,622,,
7,187,Walleye pollock,,575,,
7,187,Walleye pollock,,543,,
7,187,Walleye pollock,,529,,
